organism_id	scientific_name	powo_common_name	source	language_note
Organism_49690	Erythrophleum fordii	mai ga cha (lao)	snippet	und
Organism_20572	Erythrophleum guineense	sassy bark tree	snippet	en
Organism_29962	Erythroxylum australe	moolkellam	snippet	und
Plant_Erythroxylum_laurifolium	Erythroxylum laurifolium	bois de ronde	snippet	und
Plant_Escallonia_illinita	Escallonia illinita	corontillo	snippet	und
Plant_Esenbeckia_febrifuga	Esenbeckia febrifuga	larangeira do matto	snippet	und
Organism_45746	Espeletia grandiflora	frailejón	snippet	und
Plant_Espeletia_killipii	Espeletia killipii	frailejón	snippet	und
Organism_50422	Espeletia uribei	frailejón	snippet	und
Plant_Espeletia_tunjana	Espeletia tunjana	frailejón de tunja	snippet	und
Organism_8921	Espeletiopsis jimenez-quesadae	frailejón	snippet	und
Organism_7833	Eucalyptus	eucalyptus	snippet	und
Organism_14466	Eucalyptus intermedia	bastard bloodwood	snippet	und
Organism_30091	Eucalyptus maidenii	white gum	snippet	en
Organism_17157	Eucalyptus phellandra	new south wales messmate	snippet	und
Organism_29885	Eucalyptus sieberiana	silver top ash	snippet	en
Organism_13873	Eucalyptus rostrata	murray red gum	snippet	en
Organism_30135	Eucalyptus tessellaris	bloodwood	snippet	und
Organism_14485	Eucalyptus trachyphloia	bloodwood	snippet	und
Organism_20856	Euchresta horsfieldii	pronodjuvo	snippet	und
Organism_49860	Eugenia aquea	wal jambo	snippet	und
Organism_44781	Eugenia operculata	bata-bomba	snippet	und
Organism_46410	Euonymus pellucidifolius	ta ting wong	snippet	und
Organism_56550	Euphorbia adenochlora	takatodai	snippet	und
Organism_53134	Euphorbia parviflora	ela-dadakiriya	snippet	und
Organism_55510	Euphorbia portulacoides	pichoa	snippet	und
Organism_6767	Fagara macrophylla	african satinwood	snippet	en
Organism_23522	Fagara mayu	naranjillo	snippet	und
Organism_10171	Fernandoa adenophylla	mai kae lao (lao)	snippet	und
Organism_1310	Ferula ferulago	asafoetida	snippet	und
Organism_9766	Lindera strychnifolia	nyaku	snippet	und
Organism_4569	Linum album	sodabe (hamadan)	snippet	und
Organism_53896	Lippia americana	velita	snippet	und
Plant_Lithocarpus_corneus	Lithocarpus corneus	acorns	snippet	und
Organism_2137	Litsea gardneri	talan	snippet	und
Organism_20360	Litsea grandis	mai kratang	snippet	und
Organism_23766	Litsea salicifolia	uj	snippet	und
Organism_46571	Lobelia polyphylla	tobaco del diablo	snippet	und
Organism_56588	Lobelia nicotianifolia	bokenul	snippet	und
Plant_Lomatia_hirsuta	Lomatia hirsuta	radal	snippet	und
Organism_11217	Lonchocarpus castilloi	machiche	snippet	und
Organism_8876	Lonchocarpus neuroscapha	cabelouro	snippet	und
Organism_52774	Lucuma mammosa	bully tree	snippet	en
Organism_20040	Lycium halimifolium	common matrimony-vine	snippet	en
Organism_45246	Lysimachia foenum-graecum	ling heong chow	snippet	und
Organism_18594	Macaranga indica	kaenga	snippet	und
Organism_14074	Macaranga schweinfurthii	ndik assas	snippet	und
Plant_Machilus	Machilus	lam-a	snippet	und
Plant_Machilus_odoratissimus	Machilus odoratissimus	soom	snippet	und
Organism_49610	Maclura aurantiaca	ossage orange	snippet	und
Plant_Macoubea_guianensis	Macoubea guianensis	pitia-branco	snippet	und
Organism_35339	Macrolobium bifolium	sarebebe	snippet	und
Organism_30070	Macropiper excelsum	kawakawa	snippet	und
Organism_14391	Maerua crassifolia	sarah	snippet	und
Organism_12753	Maerua ovalifolia	earth sugar root	snippet	en
Plant_Magnolia_mexicana	Magnolia mexicana	huclosochil	snippet	und
Organism_54300	Magonia glabrata	tin gero	snippet	und
Plant_Maize_bran	Maize bran	yellow maize bran fancy	snippet	en
Organism_28861	Malva rotundifolia	sochili biol	snippet	und
Organism_20472	Mansonia gagei	kalamet	snippet	und
Organism_7757	Mansonia altissima	ofun	snippet	und
Organism_49270	Maprounea guianensis	awatti	snippet	und
Organism_51307	Margyricarpus setosus	yerba de l'a perdiz	snippet	und
Plant_Margaritaria_indica	Margaritaria indica	karawa	snippet	und
Organism_11657	Maripa panamensis	miel quemada	snippet	und
Plant_Markhamia_platycalyx	Markhamia platycalyx	lusambya	snippet	und
Organism_12149	Marsh grapefruit	marsh grapefruit	snippet	und
Plant_Mathurina_penduliflora	Mathurina penduliflora	bois gaudine	snippet	und
Organism_3720	Melia dubia	golden cedar	snippet	en
Organism_10771	Melia toosendan	choon lin chee	snippet	und
Organism_13432	Mesembryanthemum edule	vijges	snippet	und
Organism_57587	Mesua	kamsia	snippet	und
Organism_19733	Mesua thwaitesii	diya-na	snippet	und
Organism_48364	Methysticodendron amesianum	cacao sabanero	snippet	und
Organism_17904	Michelia compressa	ogatama-no-ki	snippet	und
Organism_51676	Micromelum pubescens	talafalu	snippet	und
Plant_Mikania_guaco	Mikania guaco	guaco morado	snippet	und
Organism_14855	Miliusa velutina	thabutkyee	snippet	und
Organism_11771	Millettia pendula	thinwin	snippet	und
Organism_35413	Panopsis sessilifolia	foedi iwidale (ar)	snippet	und
Plant_Paramiflos_glandulosus	Paramiflos glandulosus	frailejón glanduloso	snippet	und
Organism_22993	Pseudosindora palustris	sepetir	snippet	und
Organism_7009	Pseudotsuga wilsoniana	taiwan-togasawara	snippet	und
Organism_12345	Ruta tuberculata	el haza	snippet	und
Organism_7807	Sagotia racemosa	aratacio	snippet	und
Organism_1324	Salix subserrata	akaya (amharic)	snippet	und
Organism_11204	Salvia multiorrhiza	tan shen	snippet	und
Organism_2222	Sandoricum indicum	buah sentul	snippet	und
Organism_52029	Sapindus emarginatus	penela	snippet	und
Organism_22351	Sapium insigne	tel-kaduru	snippet	und
Organism_17591	Sarothamnus scoparius	common broom	snippet	en
Organism_47092	Sasa paniculata	torafutake	snippet	und
Plant_Scaevola_lobelia	Scaevola lobelia	taccada pith	snippet	und
Plant_Scaphium_affine	Scaphium affine	kembang semangkok	snippet	und
Organism_6290	Schinopsis lorentzii	red quebracho wood	snippet	en
Plant_Schoenoplectiella_supina	Schoenoplectiella supina	rice field bullrush	snippet	und
Plant_Sclerocarya_afra	Sclerocarya afra	mooroola	snippet	und
Organism_4797	Scorodocarpus borneensis	bawang hutan	snippet	und
