organism_id	scientific_name	powo_common_name	source	language_note
Organism_45004	Acanthosyris spinescens	quebrachilo	snippet	und
Plant_Acer_erianthum	Acer erianthum	maple	snippet	en
Plant_Acer_morrisonense	Acer morrisonense	mt. morrison maple	snippet	en
Plant_Acer_trautvetteri	Acer trautvetteri	trautvetter's maple	snippet	en
Plant_Aciphylla_scott-thomsonii	Aciphylla scott-thomsonii	giant spaniard	snippet	en
Organism_6003	Aconitum falconeri	aconite (eng)	snippet	und
Organism_16345	Aconitum palmatum	indian aconite	snippet	en
Organism_8793	Aconitum spicatum	aconite	snippet	und
Organism_35275	Acosmium dasycarpum	chapapdinha	snippet	und
Organism_12247	Acronychia baueri	beudding turmeric	snippet	und
Organism_52292	Acronychia	indian aspen	snippet	en
Organism_50031	Actinodaphne pruinosa	medang	snippet	und
Plant_Adenophora	Adenophora	clear ginseng	snippet	und
Organism_10376	Adina cordifolia	mai kao (lao)	snippet	und
Organism_57140	Aegiceras majus	halsi	snippet	und
Organism_50249	Aeschrion excelsa	bitter wood	snippet	en
Organism_785	Aesculus rubicunda	red horse chestnut	snippet	en
Organism_21862	Aframomum daniellii	longouze	snippet	und
Organism_16315	Aframomum giganteum	sweet alligator pepper	snippet	en
Organism_18233	Aframomum sceptrum	mungulu (native name)	snippet	und
Organism_10538	Afrormosia elata	afrormosia	snippet	und
Organism_11280	Agathis alba	bold pale amber	snippet	und
Organism_51748	Agathis palmerstonii	kauri pine	snippet	en
Plant_Agave_vivipara	Agave vivipara	aloe fibre	snippet	und
Plant_Ageratina_tinifolia	Ageratina tinifolia	chilco negro	snippet	und
Organism_18703	Aglaia roxburghiana	kin kon	snippet	und
Organism_851	Aiphanes aculeata	ruffle palm	snippet	en
Organism_24579	Alangium javanicum	mentulang	snippet	und
Organism_2425	Alangium lamarckii	azhinji-maram (tam)	snippet	und
Organism_1134	Albizia coriaria	mutam-pindi	snippet	und
Organism_23019	Albizia lophantha	plume albizia	snippet	und
Organism_35283	Alchornea glandulosa	escobo	snippet	und
Organism_26757	Alexa canaracunensis	tunadi (myongong)	snippet	und
Organism_35381	Alibertia edulis	pera	snippet	und
Plant_Allaeanthus_zeylanicus	Allaeanthus zeylanicus	alandu	snippet	und
Organism_44895	Allium macleanii	giant saleb	snippet	en
Plant_Alnus_rugosa	Alnus rugosa	tag alder	snippet	und
Organism_18289	Aloe sabaea	yemen tree aloe	snippet	en
Organism_1349	Aloe saponaria	soap aloe	snippet	en
Organism_45627	Aloe vulgaris	barbadoes aloe	snippet	und
Organism_51282	Aloysia triphylla	cedron paraguay	snippet	und
Organism_49155	Alphonsea ventricosa	chovi	snippet	und
Organism_47777	Alseodaphne semecarpifolia	ranai	snippet	und
Organism_48316	Alstonia plumosa	sorua	snippet	und
Organism_50179	Alstonia vitiensis	caoutchouc	snippet	und
Organism_29543	Amaranthus paniculatus	ganhar	snippet	und
Organism_54243	Ambrosia arborescens	altamisa	snippet	und
Organism_25000	Amoora rohituka	hingul	snippet	und
Organism_48214	Ampelocera edentula	adabadan (ar)	snippet	und
Organism_50418	Amyris plumieri	elemi	snippet	und
Organism_24035	Anadenanthera macrocarpa	angico manso	snippet	und
Organism_25432	Ananas sativus	pacific rosewood	snippet	und
Plant_Anchietea_salutaris	Anchietea salutaris	cipo suma (portugese)	snippet	und
Plant_Andira_surinamensis	Andira surinamensis	large jumbie bean	snippet	en
Organism_2088	Andrachne aspera	indian senega	snippet	en
Plant_Androsiphonia_adenostegia	Androsiphonia adenostegia	sehn-chu	snippet	und
Organism_48409	Anemopaegma mirandum	catuaba	snippet	und
Plant_Anisophyllea_laurina	Anisophyllea laurina	kant	snippet	und
Plant_Anisotome_pilifera	Anisotome pilifera	bristly mountain carrot	snippet	en
Organism_17012	Anthemis wiedemanniana	gul-i-banoi (hamadan)	snippet	und
Organism_17374	Anthocephalus cadamba	laren	snippet	und
Plant_Anthocleista_nobilis	Anthocleista nobilis	dweh	snippet	und
Organism_50532	Aphelandra chamissoniana	yellow pagoda	snippet	en
Plant_Apodytes_dimidiata	Apodytes dimidiata	muchogi	snippet	und
Organism_14977	Araucaria imbricata	monkey puzzle	snippet	en
Organism_44277	Arisaema erubescens	chou tan hsing	snippet	und
Plant_Arisaema_yunnanense	Arisaema yunnanense	yunnam	snippet	und
Organism_21512	Artabotrys zeylanicus	petica-wei	snippet	und
Organism_54159	Artemisia copa	copa copa	snippet	und
Organism_3642	Artemisia mexicana	mexican santonica	snippet	en
Organism_8588	Artocarpus incisus	antipolo	snippet	und
Organism_17803	Artocarpus lanceifolius	kledang	snippet	und
Organism_8638	Artocarpus lowii	champedak ayer	snippet	und
Organism_8589	Artocarpus nobilis	del	snippet	und
Plant_Asarum_crassum	Asarum crassum	nangoku-aoi	snippet	und
Organism_51185	Asparagus adscendens	musli	snippet	und
Organism_14879	Asperula odorata	woodruff	snippet	und
Plant_Aspidosperma	Aspidosperma	paratudo	snippet	und
Plant_Aspidosperma_australe	Aspidosperma australe	pegiua do sul	snippet	und
Organism_17648	Aspidosperma eburneum	pequea marfim	snippet	und
Organism_25922	Aspidosperma excelsum	yarum	snippet	und
Organism_46491	Aspidosperma megalocarpon	paddle wood tree	snippet	en
Organism_2508	Aspidosperma oblongum	fine leaf yaru bark	snippet	en
Plant_Aspidosperma_parvifolium	Aspidosperma parvifolium	piquia-verdadeiro	snippet	und
Organism_6598	Aspidosperma pyrifolium	pereiro	snippet	und
Organism_35298	Aspidosperma tomentosum	cassia	snippet	und
Organism_56067	Aspidosperma vargasii	walababadan	snippet	und
Organism_17002	Astragalus lusitanicus	argokoantzia	snippet	und
Plant_Astragalus_massiliensis	Astragalus massiliensis	algarve vegetable hedgehog	snippet	und
Organism_9065	Ateleia herbert-smithii	palo de prieto	snippet	und
Plant_Athanasia	Athanasia	klaas louw	snippet	und
Organism_55929	Athrotaxis laxifolia	summit cedar	snippet	und
Organism_1123	Atractylis gummifera	rubber plant	snippet	und
Organism_51376	Atractylis japonica	atractylodes rhizoma	snippet	und
Organism_13040	Atractylis ovata	giakio jakukon	snippet	und
Organism_47200	Atuna racemosa	buri nuts	snippet	und
Organism_13868	Avicennia alba	api-api	snippet	und
Organism_3955	Baccharis grisebachii	quinchamal	snippet	und
Organism_6216	Baccharis latifolia	barsalito	snippet	und
Organism_53963	Baccharis ochracea	herba santa	snippet	und
Organism_52196	Baccharis tricuneata	sanalotodo	snippet	und
Organism_2621	Baccharis trinervis	chilca	snippet	und
Organism_22262	Balanocarpus heimii	damar yang penang	snippet	und
Organism_45464	Balanophora indica	gujpipol (mar)	snippet	und
Organism_56508	Ballota africana	katte-kruiden	snippet	und
Organism_15528	Baphicacanthus cusia	maigyee	snippet	und
Organism_6564	Barosma crenulata	buchu	snippet	und
Organism_47585	Barringtonia butonica	bois	snippet	und
Organism_13605	Bauhinia candicans	una de gato	snippet	und
Organism_13892	Bauhinia vahlii	adda (tel)	snippet	und
Organism_21376	Beaumontia brevituba	ghattie pool	snippet	und
Organism_21323	Berberis rigidifolia	espino	snippet	und
Organism_24004	Berchemia discolor	brown ivory	snippet	und
Organism_12401	Bergenia ligulata	pashan-byed	snippet	und
Plant_Berkheya	Berkheya	purple berkheya	snippet	en
Plant_Berlinia_grandiflora	Berlinia grandiflora	gbay-gbor-ku-orh	snippet	und
Plant_Betula_globispica	Betula globispica	birch	snippet	und
Organism_21758	Betula litwinowii	birch	snippet	und
Plant_Billia_rosea	Billia rosea	tres hojas	snippet	und
Plant_Blechnum_gibbum	Blechnum gibbum	dwarf tree fern	snippet	en
Plant_Blepharis_linariifolia	Blepharis linariifolia	jasa kaba	snippet	und
Organism_30250	Bosistoa sapindiformis	union nut	snippet	en
Organism_906	Boswellia neglecta	qundi (amharic)	snippet	und
Organism_19901	Brachylaena elliptica	bitterblaar	snippet	und
Organism_54978	Brachylaena hutchinsii	mahugu	snippet	und
Plant_Brachystegia_longifolia	Brachystegia longifolia	musompa	snippet	und
Plant_Brachystegia_utilis	Brachystegia utilis	musaka	snippet	und
Plant_Brassica_alba	Brassica alba	white mustard seed	snippet	en
Organism_48001	Bridelia moonii	patkaala	snippet	und
Organism_15596	Bridelia retusa	keta-kela	snippet	und
Plant_Bromelia_karatas	Bromelia karatas	sarsaparilla	snippet	und
Organism_35263	Brosimum paraense	muirapiranga (brazil)	snippet	und
Plant_Brownea_ariza	Brownea ariza	palo cruz	snippet	und
Organism_24728	Brucea sumatrana	tambara maridja	snippet	und
Organism_44687	Buddleja cordata	tepozan	snippet	und
Plant_Bulbophyllum_retusiusculum	Bulbophyllum retusiusculum	yellow comb orchid	snippet	en
Organism_22505	Buxus hyrcana	box	snippet	en
Organism_46332	Buxus hildebrandtii	box	snippet	en
Organism_35335	Cabralea canjerana	cangerana	snippet	und
Organism_46134	Calceolaria thyrsiflora	palpi yerba dulce	snippet	und
Organism_18112	Callistemon lanceolatus	bottle brush tree	snippet	en
Plant_Callitris_hugelii	Callitris hugelii	white cypress pine	snippet	en
Organism_19671	Callitris quadrivalvis	cypress	snippet	und
Organism_19145	Calophyllum blancoi	palo maria	snippet	und
Organism_4236	Calophyllum bracteatum	walu kina	snippet	und
Organism_7563	Calophyllum calaba	batukina	snippet	und
Plant_Calophyllum_laxiflorum	Calophyllum laxiflorum	vintanona (malagasy)	snippet	und
Organism_19724	Calophyllum pulcherrimum	bintangor batu	snippet	und
Organism_16655	Calophyllum sclerophyllum	bintangor	snippet	und
Organism_16658	Calophyllum thwaitesii	kina	snippet	und
Organism_9067	Calophyllum walkeri	kina	snippet	und
Plant_Calostemma_luteum	Calostemma luteum	australian daffodil	snippet	und
Organism_43832	Calostephane divaricata	wing stem daisy	snippet	und
Organism_5976	Campsidium valdivianum	liana del coicopihue (spanish)	snippet	und
Plant_Canarium_zeylanicum	Canarium zeylanicum	malakakoona	snippet	und
Organism_51961	Canavalia obtusifolia	katra shim	snippet	und
Organism_52129	Canthium schimperianum	ruasi	snippet	und
Organism_16590	Capparis galeata	lassaf	snippet	und
Organism_25643	Capparis nobilis	caper tree	snippet	en
Organism_51188	Capsicum tetragonum	sweet cayenne	snippet	en
Organism_7575	Carapa procera	ibipopo	snippet	und
Plant_Carpotroche_brasiliensis	Carpotroche brasiliensis	fruto-de-paca	snippet	und
Organism_18232	Carum roxburghianum	ajmod	snippet	und
Plant_Caryocar_microcarpum	Caryocar microcarpum	kula	snippet	und
Organism_56123	Cascarilla magnifolia	cascarilla flor de azahar	snippet	und
Organism_29396	Cassia artemisioides	silver cassia	snippet	en
Organism_17897	Cassia absus	egyptian cassia seed	snippet	und
Organism_16272	Cassia fastuosa	faveirinha	snippet	und
Organism_18006	Cassia hirsuta	fedogoso	snippet	und
Organism_17360	Cassia italica	eland's pea	snippet	und
Organism_13312	Cassia siamea	aramana (sinhalese)	snippet	und
Organism_7974	Cassia spectabilis	kaha-kona	snippet	und
Organism_29398	Cassia tomentosa	remate	snippet	und
Organism_55008	Cassine glauca	ceylon tea	snippet	und
Organism_48979	Cassine papillosa	common saffronwood	snippet	en
Organism_25828	Cassinia vauvilliersii	mountain cottonwood	snippet	en
Organism_19133	Castela nicholsonii	chaparro amargoso (spanish)	snippet	und
Organism_21842	Castilleja fissifolia	venadillo	snippet	und
Organism_53665	Catechu	catechu palm	snippet	en
Organism_56844	Cedrela angustifolia	cedro oloroso	snippet	und
Organism_9270	Cedrela mexicana	arra-arra	snippet	und
Organism_2105	Cedrela sinensis	hsiang chun chih	snippet	und
Organism_12367	Cedrela toona	australian cedar	snippet	und
Organism_10730	Cedrelopsis grevei	katrafay	snippet	und
Plant_Cedrelopsis	Cedrelopsis	katrafay	snippet	und
Organism_44602	Celtis durandii	musa	snippet	und
Plant_Cenolophium_denudatum	Cenolophium denudatum	baltic parsley	snippet	und
Organism_49413	Celtis reticulosa	ki-tai	snippet	und
Organism_49603	Centaurea phyllocephala	badawurd	snippet	und
Organism_25001	Centaurea senegalensis	compositae	snippet	und
Organism_14657	Centaurium cachanlahuen	canchalagua	snippet	und
Organism_6050	Centrolobium paraense	kartang	snippet	und
Organism_17846	Centrolobium tomentosum	putumiju	snippet	und
Organism_55011	Ceriops roxburghiana	baro-goran	snippet	und
Plant_Cestrum_tomentosum	Cestrum tomentosum	pasmo	snippet	und
Organism_4456	Chimarrhis turbinata	komara-maraballi (ar)	snippet	und
Organism_54687	Chione glabra	bois violette	snippet	und
Organism_8652	Chlorophora regia	pau bicho	snippet	und
Organism_19417	Chondrodendron candicans	grannys backbone	snippet	und
Organism_5430	Cimicifuga heracleifolia	komarov's bugbane	snippet	und
Plant_Cinchona	Cinchona	red cinchona	snippet	en
Plant_Cinchona_sp.	Cinchona sp.	cinchona sp nova de loxa	snippet	und
Organism_6700	Cinnamodendron axillare	casca de paratudo	snippet	und
Plant_Cinnamodendron_corticosum	Cinnamodendron corticosum	wild cinnamon	snippet	en
Organism_14945	Cinnamomum glanduliferum	gunserai	snippet	und
Plant_Cinnamomum_inunctum	Cinnamomum inunctum	karaway	snippet	und
Organism_12876	Cinnamomum obtusifolium	tazpat	snippet	und
Organism_17808	Cipadessa baccifera	hal-bembiya	snippet	und
Organism_5900	Cinnamosma fragrans	metrobeantinana	snippet	und
Plant_Citrus_excelsa	Citrus excelsa	kagzi	snippet	und
Organism_23888	Citrus yuko	yuzu citrus tree	snippet	en
Organism_15154	Citrus vulgaris	lime tree	snippet	en
Organism_15107	Clarisia racemosa	oiticica	snippet	und
Organism_20854	Clathrotropis brachypetala	aromata	snippet	und
Organism_29448	Cleidion spiciflorum	okum	snippet	und
Organism_16291	Cleistanthus patulus	visa	snippet	und
Organism_2295	Cleistopholis patens	nee-wahn-johr	snippet	und
Plant_Clerodendrum	Clerodendrum	pagoda flower	snippet	en
Organism_5274	Clerodendrum infortunatum	gas pinna	snippet	und
Organism_15738	Clerodendrum serratum	bharangi (india)	snippet	und
Organism_4647	Clibadium surinamense	conami	snippet	und
Organism_45011	Clusia columnaris	palo blanco	snippet	und
Organism_45739	Clusia multiflora	gaque	snippet	und
Organism_6294	Cnicothamnus lorentzii	asafran	snippet	und
Organism_5363	Cocculus trilobus	fang ki	snippet	und
Organism_697	Cochlospermum tinctorium	downdaki	snippet	und
Organism_11527	Codonopsis tangshen	tang shen	snippet	und
Plant_Combretum_fruticosum	Combretum fruticosum	mofumfbo de beira de rio	snippet	und
Plant_Combretum_glutinosum	Combretum glutinosum	gog	snippet	und
Plant_Combretum_leprosum	Combretum leprosum	mofumbo	snippet	und
Plant_Combretum_nigricans	Combretum nigricans	limbi	snippet	und
Organism_44836	Combretum sundaicum	anti-opium plant	snippet	und
Organism_51311	Commiphora erythraea	besabol	snippet	und
Organism_45493	Commiphora merkeri	zebra corkwood	snippet	und
Organism_904	Commiphora quadricincta	malo wa harod	snippet	und
Organism_1654	Commiphora molmol	dhidiu tree	snippet	en
Organism_49145	Comptonia asplenifolia	sweet fern	snippet	en
Plant_Copaifera_pubiflora	Copaifera pubiflora	mariivayahi	snippet	und
Organism_50086	Cordia elaeagnoides	barcino	snippet	und
Organism_11778	Cordia fragrantissima	ka-la-met wood	snippet	en
Organism_21052	Coriaria angustissima	small-leaved tutu	snippet	und
Organism_56958	Coriaria ruscifolia	tutu fruit	snippet	en
Organism_48097	Corynanthe pachyceras	akonwerewere (yoruba)	snippet	und
Organism_54694	Cotylelobium melanoxylon	resak tempurong	snippet	und
Organism_9486	Cotylelobium lanceolatum	mai kiam	snippet	und
Organism_8202	Couepia polyandra	baboon cap	snippet	und
Plant_Coula_edulis	Coula edulis	srah	snippet	und
Organism_13086	Cratoxylum celebicum	geronggang	snippet	und
Organism_30277	Crinum	swamp lily	snippet	en
Organism_15187	Crotalaria burhia	kippel	snippet	und
Plant_Crotalaria_nitens	Crotalaria nitens	cascabeles	snippet	und
Organism_8655	Croton campestris	casca de juca	snippet	und
Plant_Croton_conduplicatus	Croton conduplicatus	amargosito	snippet	und
Organism_55334	Croton gossypiifolius	blood wood	snippet	en
Organism_50952	Croton malambo	spurious winter's bark	snippet	en
Plant_Croton_matourensis	Croton matourensis	spruce	snippet	und
Plant_Croton_oligandrus	Croton oligandrus	m'bambe	snippet	und
Organism_35301	Crudia amazonica	montuli	snippet	und
Organism_56523	Cryptocarya amygdalina	gal-mare	snippet	und
Organism_20359	Cryptocarya crassinervia	ruba	snippet	und
Plant_Cryptocarya_wightiana	Cryptocarya wightiana	gooloo-mora	snippet	und
Plant_Cryptocoryne_spiralis	Cryptocoryne spiralis	natu ati vadayam	snippet	und
Organism_9005	Cryptolepis sanguinolenta	gangamau	snippet	und
Plant_Cunila_microcephala	Cunila microcephala	polio herb	snippet	und
Organism_11205	Cupressus lindleyi	cedro blanco	snippet	und
Plant_Cuscuta_hyalina	Cuscuta hyalina	kill weed	snippet	en
Organism_57112	Cussonia bojeri	tsingila	snippet	und
Plant_Cyathea_lepifera	Cyathea lepifera	mori hego	snippet	und
Organism_7121	Cyathea podophylla	kuro hego	snippet	und
Organism_15901	Cyathocalyx zeylanicus	ke kala	snippet	und
Organism_25547	Cylicodiscus gabunensis	denya	snippet	und
Organism_18125	Cynometra ananta	dah	snippet	und
Organism_18127	Cynometra lujae	zebrano	snippet	und
Plant_Cyperus_bulbosus	Cyperus bulbosus	sheelandie arisee	snippet	und
Organism_20159	Cyperus corymbosus	sea side grass	snippet	en
Organism_24178	Cytisus albus	white portugal broom	snippet	en
Organism_55536	Dacryodes hexandra	gum opal	snippet	en
Organism_17852	Dalbergia baronii	palissandra (malagasy)	snippet	und
Organism_17855	Dalbergia inundata	cipo tucunare	snippet	und
Organism_3660	Dalbergia paniculata	dobein	snippet	und
Organism_11059	Dalbergia riparia	rabo de guariba	snippet	und
Organism_2853	Dalbergia variabilis	bois de rose	snippet	en
Plant_Damson	Damson	native damson	snippet	und
Organism_53327	Datura suaveolens	fumastra	snippet	und
Plant_Dendrobium	Dendrobium	mar phin choo	snippet	und
Plant_Dendrobium_senile	Dendrobium senile	old man orchid	snippet	und
Organism_10877	Derris robusta	mai harng kow	snippet	und
Organism_53389	Dichapetalum toxicarium	ekumukura (fante)	snippet	und
Plant_Dicliptera_paniculata	Dicliptera paniculata	lady flower	snippet	en
Organism_18966	Dicoma tomentosa	doll's protea	snippet	und
Organism_9728	Dicranostigma franchetianum	annual dicranostigma	snippet	und
Organism_4934	Digitalis thapsi	digitalis	snippet	und
Organism_35392	Dimorphandra mollis	faveira	snippet	und
Organism_8261	Diospyros elliptifolia	kaiu malam (malay)	snippet	und
Organism_8264	Diospyros embryopteris	panacha	snippet	und
Organism_5507	Diospyros ferrea	lama	snippet	und
Organism_8324	Diospyros peregrina	gab	snippet	und
Organism_8327	Diospyros quaesita	coromandel	snippet	und
Organism_22770	Diospyros toposia	kaha kala	snippet	und
Organism_14452	Dipterocarpus acutangulus	keruing	snippet	und
Plant_Dipterocarpus_grandiflorus	Dipterocarpus grandiflorus	apitong	snippet	und
Organism_48255	Dipterocarpus gracilis	keruing kesat	snippet	und
Organism_55948	Dipterocarpus hasseltii	keruing	snippet	und
Plant_Dipterocarpus_hispidus	Dipterocarpus hispidus	bu-hora	snippet	und
Organism_6682	Dipterocarpus pilosus	hollong	snippet	und
Organism_12886	Discaria longispina	coronillo	snippet	und
Organism_24131	Dolichandrone falcata	udi mara	snippet	und
Organism_45517	Dolichandrone crispa	mai khaafoy	snippet	und
Organism_14459	Doliocarpus dentatus	bejuco tomé	snippet	und
Organism_4288	Dorstenia brasiliensis	tarope	snippet	und
Organism_54445	Dracontomelon mangiferum	sangkuang	snippet	und
Organism_24438	Drimys lanceolata	pepper bush	snippet	en
Organism_50077	Dryobalanops camphora	borneo camphor	snippet	und
Organism_49095	Drypetes paxii	lubanze n'zau	snippet	und
Organism_45350	Duguetia calycina	yeshi-dan	snippet	und
Plant_Dulacia_inopiflora	Dulacia inopiflora	marapuranna	snippet	und
Organism_12486	Duroia hirsuta	matatodo	snippet	und
Organism_53878	Dysoxylum muelleri	miva mahogany	snippet	und
Organism_12762	Eclipta alba	han lien tsao (dry plant)	snippet	und
Plant_Eirmocephala_brachiata	Eirmocephala brachiata	tabaquillo	snippet	und
Organism_13394	Elateriospermum tapos	buah prah	snippet	und
Organism_21389	Eleutherococcus henryi	wu kia p'i	snippet	und
Plant_Eleutherococcus_spinosus	Eleutherococcus spinosus	ch'uen ka p'i (cant.)	snippet	und
Organism_20743	Elytropappus rhinocerotis	rhinosterboschjes	snippet	und
Organism_56347	Embelia robusta	amti	snippet	und
Organism_8710	Emmotum nitens	aderno-verdadeiro	snippet	und
Organism_45881	Empleurum serrulatum	false buchu	snippet	en
Organism_11116	Enantia chlorantha	nfoo (fang)	snippet	und
Organism_35260	Endlicheria sericea	laurier abocat	snippet	und
Organism_22622	Entada scandens	sintoh	snippet	und
Plant_Entandrophragma	Entandrophragma	sapeli mahogany	snippet	und
Organism_7142	Entada pursaetha	gogo	snippet	und
Organism_35349	Eperua bijuga	ypil	snippet	und
Organism_29658	Ervatamia	burut-burut	snippet	und
Organism_55881	Ervatamia dichotoma	devi kaduru	snippet	und
Organism_15130	Ervum lens	lentils	snippet	und
Plant_Erythrina_edulis	Erythrina edulis	junchua sacha porota	snippet	und
Organism_25256	Erythrina lithosperma	dadap mienjak	snippet	und
Organism_19172	Erythrina rubrinervia	chocho	snippet	und
Organism_11590	Erythrina standleyana	tiger wood	snippet	en
Organism_17619	Erythrina suberosa	dholdhak	snippet	und
