# tiers: junk (structural non-taxon markers) | possible_plant (kept for review)
organism_id	scientific_name	tier	reason
Plant_spotted_tricholoma	spotted tricholoma	possible_plant	
Plant_rnica	árnica	possible_plant	
Plant_Aioliomyces_pyridodomos	Aioliomyces pyridodomos	possible_plant	
Plant_Cephalanceropsis_gracilis	Cephalanceropsis gracilis	possible_plant	
Plant_Cortex_magnoliae_officinalis	Cortex magnoliae officinalis	junk	pharmacognosy part-name ('cortex')
Plant_Dark_Mullein	Dark Mullein	possible_plant	
Plant_Herba_nerviliae	Herba nerviliae	junk	pharmacognosy part-name ('herba')
Plant_Nepalese_propolis	Nepalese propolis	junk	non-plant common-name token
Plant_Sweet_Woodruff	Sweet Woodruff	possible_plant	
Plant_clostridium_cellulolyticum	[clostridium] cellulolyticum	junk	contains brackets/parens (strain designation)
Plant_Gama_farinosum	Gama farinosum	possible_plant	
Plant_Massa_fermentata	Massa fermentata	possible_plant	
Plant_Plastrum_testudinis	Plastrum testudinis	possible_plant	
Organism_46198	brazilian green propolis	junk	non-plant common-name token
Plant_chinese_propolis	chinese propolis	junk	non-plant common-name token
Plant_zedoariae_rhizoma	zedoariae rhizoma	possible_plant	
Plant_Cortex_lycii_radicis	Cortex lycii radicis	junk	pharmacognosy part-name ('cortex')
Plant_Oleum_ocimi_gratissimi	Oleum ocimi gratissimi	junk	pharmacognosy part-name ('oleum')
Plant_Pericarpium_zanthoxyli	Pericarpium zanthoxyli	junk	pharmacognosy part-name ('pericarpium')
Plant_Portuguese_Squill	Portuguese Squill	possible_plant	
Plant_Reniera	Reniera	possible_plant	
Plant_candida_zeylanoides	[candida] zeylanoides	junk	contains brackets/parens (strain designation)
Plant_Dens_draconis_preparata	Dens draconis preparata	possible_plant	
Plant_Herreania_sp.	Herreania sp.	possible_plant	
Plant_Hijikia_fusiforme	Hijikia fusiforme	possible_plant	
Plant_Horsehair_crab	Horsehair crab	junk	non-plant common-name token
Plant_Natural_safrole_producing_species_Unclassified	Natural safrole producing species (Unclassified)	junk	non-plant/unknown marker ('unclassified')
Plant_Rhamuron_balansae	Rhamuron balansae	possible_plant	
Plant_Timothy-grass	Timothy-grass	possible_plant	
Organism_54832	burman diospyros burmanica	possible_plant	
Plant_common_bugloss	common bugloss	possible_plant	
Plant_hijiki	hijiki	possible_plant	
Plant_latrunculid_sponges	latrunculid sponges	possible_plant	
Plant_sponge_sp.	sponge sp.	junk	non-plant common-name token
Plant_Common_rose	Common rose	possible_plant	
Plant_Escinops_ellenbeckii	Escinops ellenbeckii	possible_plant	
Plant_Marine_isolate	Marine isolate	junk	microbial strain / unknown marker
Plant_Oleum_pogostemonis	Oleum pogostemonis	junk	pharmacognosy part-name ('oleum')
Plant_Semen_artemisiae	Semen artemisiae	junk	pharmacognosy part-name ('semen')
Plant_druinella_sp.	druinella sp.	possible_plant	
Plant_hydrangeae_dulcis_folium	hydrangeae dulcis folium	possible_plant	
Organism_47558	Cameroonian entandrophragma	possible_plant	
Plant_Carapax_trionycis	Carapax trionycis	possible_plant	
Plant_Endophytic_fungi	Endophytic fungi	junk	non-plant/unknown marker ('fungi')
Plant_Sanguis_draconis	Sanguis draconis	possible_plant	
Plant_Sword-tail_newt	Sword-tail newt	possible_plant	
Plant_Thermal_degraded_product	Thermal degraded product	possible_plant	
Plant_chinese_eaglewood	chinese eaglewood	possible_plant	
Plant_gabonese_sp.	gabonese sp.	possible_plant	
Organism_49632	green tea	possible_plant	
Plant_korean_propolis	korean propolis	junk	non-plant common-name token
Plant_os-f68576	os-f68576	junk	contains digits (strain/catalog id)
Plant_umbellate_wintergreen	umbellate wintergreen	possible_plant	
Plant_zigzag_clover	zigzag clover	possible_plant	
Plant_Actinomycete_strain_R516-16	Actinomycete strain R516-16	junk	contains digits (strain/catalog id)
Organism_548	Arbuscular mycorrhizal	possible_plant	
Plant_Azadiractica_indica	Azadiractica indica	possible_plant	
Plant_Bas_taurus	Bas taurus	possible_plant	
Plant_Candidatus-Endobryopsis_kahalalidefaciens	Candidatus-Endobryopsis kahalalidefaciens	possible_plant	
Plant_Cortex_dictamni	Cortex dictamni	junk	pharmacognosy part-name ('cortex')
Plant_Gambier	Gambier	possible_plant	
Plant_George_lily_Scarborough_lily	George lily, Scarborough lily	possible_plant	
Plant_Giant_leaf_frog	Giant leaf frog	possible_plant	
Plant_Herba_plantaginis_minutae	Herba plantaginis minutae	junk	pharmacognosy part-name ('herba')
Plant_Herba_serissae	Herba serissae	junk	pharmacognosy part-name ('herba')
Plant_Mexican_Brown_Propolis	Mexican Brown Propolis	junk	non-plant common-name token
Plant_New_England_Tree_Frog	New England Tree Frog	possible_plant	
Plant_Penis_cervi	Penis cervi	possible_plant	
Plant_Periostracum_cicadae	Periostracum cicadae	possible_plant	
Plant_Savoy_cabbage	Savoy cabbage	possible_plant	
Plant_Scutellariae_radix	Scutellariae radix	possible_plant	
Plant_Semen_sesami	Semen sesami	junk	pharmacognosy part-name ('semen')
Plant_kabosu	kabosu	possible_plant	
Organism_53783	nepalese zanthoxylum armatum	possible_plant	
Plant_Archangelicia_flava	Archangelicia flava	possible_plant	
Plant_Balsamum_tolutanum	Balsamum tolutanum	possible_plant	
Plant_Concha_meretricis_seu_cyclinae	Concha meretricis seu cyclinae	junk	Latin drug phrase (seu/et)
Plant_Exocarpium_citri_grandis	Exocarpium citri grandis	junk	pharmacognosy part-name ('exocarpium')
Plant_Family_asteriidae	Family asteriidae	possible_plant	
Plant_Firebug	Firebug	possible_plant	
Plant_Herba_dracocephali_tangutici	Herba dracocephali tangutici	junk	pharmacognosy part-name ('herba')
Plant_Herba_fragariae	Herba fragariae	junk	pharmacognosy part-name ('herba')
Plant_Herba_lagotidis	Herba lagotidis	junk	pharmacognosy part-name ('herba')
Plant_Lsodon_japonica	Lsodon japonica	possible_plant	
Plant_Peruvian_amazonian	Peruvian amazonian	possible_plant	
Plant_Satsuki_azalea	Satsuki azalea	possible_plant	
Plant_Stiff_silkworm	Stiff silkworm	possible_plant	
Plant_cartwtereementas_de_mitas	cartwtereementas de mitas	possible_plant	
Organism_8493	family Asteraceae spp.	possible_plant	
Plant_garden_chervil	garden chervil	possible_plant	
Plant_gorgonian_astrogorgia_sp.	gorgonian astrogorgia sp.	junk	non-plant common-name token
Plant_pulmonate_mollusks	pulmonate mollusks	possible_plant	
Plant_strongylophora	strongylophora	possible_plant	
Plant_ymf_1.01029	ymf 1.01029	junk	contains digits (strain/catalog id)
Plant_Arousa_sp.	Arousa sp.	possible_plant	
Plant_Broad_sea_fan	Broad sea fan	possible_plant	
Plant_Burmese_grape	Burmese grape	possible_plant	
Plant_Cape_dorid	Cape dorid	possible_plant	
Plant_Dwarf_sea_hare	Dwarf sea hare	possible_plant	
Plant_Freshwater_algal_bloom	Freshwater algal bloom	possible_plant	
Plant_Gorgonian_pseudopterogorgia	Gorgonian pseudopterogorgia	junk	non-plant common-name token
Plant_Halophilic_actinomycete	Halophilic actinomycete	possible_plant	
Plant_Indo-Pacific_sponge_Unclassified	Indo-Pacific sponge (Unclassified)	junk	non-plant/unknown marker ('unclassified')
Plant_Jnula_britannica	Jnula britannica	possible_plant	
Plant_Liquor_jiu	Liquor jiu	possible_plant	
Organism_54611	Lsodon oresbia	possible_plant	
Plant_Marine_bacillus	Marine bacillus	possible_plant	
Plant_Mashua	Mashua	possible_plant	
Plant_Mmaesa_laxiflora	Mmaesa laxiflora	possible_plant	
Plant_Pericarpium_trichosanthis	Pericarpium trichosanthis	junk	pharmacognosy part-name ('pericarpium')
Plant_Phodymenia_palmata	Phodymenia palmata	possible_plant	
Plant_Semen_trichosanthis	Semen trichosanthis	junk	pharmacognosy part-name ('semen')
Plant_Vinum	Vinum	junk	pharmacognosy part-name ('vinum')
Plant_aaglaia_argentea	aaglaia argentea	possible_plant	
Plant_beadlet_anemone	beadlet anemone	junk	non-plant common-name token
Plant_bermuda_buttercup	bermuda buttercup	possible_plant	
Plant_hominaxella_sp.	hominaxella sp.	possible_plant	
Plant_spongosorite	spongosorite	possible_plant	
Plant_Andaliman	Andaliman	possible_plant	
Plant_Asidosperma_subincanum_Mart	Asidosperma subincanum Mart	possible_plant	
Plant_Bladder_senna	Bladder senna	possible_plant	
Plant_Butler_s_Garter_Snake	Butler's Garter Snake	possible_plant	
Organism_1281	Cape aloe	possible_plant	
Plant_Concha_mauritiae_arabicae	Concha mauritiae arabicae	junk	pharmacognosy part-name ('concha')
Plant_Cortex_berberidis	Cortex berberidis	junk	pharmacognosy part-name ('cortex')
Organism_914	Curya pecan	possible_plant	
Plant_Fructusgleditsia	Fructusgleditsia	possible_plant	
Plant_Golden_mandarin_fish	Golden mandarin fish	junk	non-plant common-name token
Plant_Herba_coriandri	Herba coriandri	junk	pharmacognosy part-name ('herba')
Plant_Hymeneae_palustris	Hymeneae palustris	possible_plant	
Plant_Katmon	Katmon	possible_plant	
Plant_Octea_macrophylla	Octea macrophylla	possible_plant	
Plant_Oleum_cinnamomi	Oleum cinnamomi	junk	pharmacognosy part-name ('oleum')
Plant_Orytes_rinojaponyes	Orytes rinojaponyes	possible_plant	
Plant_Pedicellus_melo	Pedicellus melo	possible_plant	
Plant_Red_Mexican_Propolis	Red Mexican Propolis	junk	non-plant common-name token
Plant_Smooth-fronted_caiman	Smooth-fronted caiman	possible_plant	
Plant_Stelmatocrypton_khasianum	Stelmatocrypton khasianum	possible_plant	
Plant_Strain_SANK_17397	Strain SANK 17397	junk	contains digits (strain/catalog id)
Plant_Streptomycete	Streptomycete	possible_plant	
Plant_aged_korean_fermented_soybean_paste	aged korean fermented soybean paste	possible_plant	
Organism_45702	antarctic peninsula	possible_plant	
Plant_basking_shark	basking shark	junk	non-plant common-name token
Plant_epichlo_festucae	epichlo√É¬É√Ç¬´ festucae	possible_plant	
Plant_lethal_webcaps	lethal webcaps	possible_plant	
Plant_octocorals	octocorals	possible_plant	
Plant_pseuhxandra_sclerocarpa	pseuhxandra sclerocarpa	possible_plant	
Plant_sarcuapnos_crassfolia	sarcuapnos crassfolia	possible_plant	
Plant_sunflower_pollen	sunflower pollen	possible_plant	
