# source: Wikidata (P1843 taxon common name, then item label/alias); matched by P225 scientific name
# langs: en   retrieved: 2026-08-18
organism_id	scientific_name	wikidata_qid	wikidata_common_name	source_field	all_p1843
Organism_49826	Cacalia pilgeriana				
Organism_45588	Calea clausseniana	Q109604938			
Organism_29594	Calocephalus knappii	Q15555299			
Organism_8017	Calophyllum caledonicum	Q2934359			
Organism_53520	Calycanthus chinensis	Q11739000			
Plant_Casearia_corymbosa	Casearia corymbosa	Q5756031			
Plant_Citrus_depressa	Citrus depressa	Q2233999	Taiwan tangerine	alias	
Plant_Clinopodium_congestum	Clinopodium congestum	Q15350802			
Organism_11526	Codonopsis subglobosa	Q15226505			
Organism_3811	Cordia multispicata	Q15579627			
Organism_51515	Cotula filicula	Q105030149			
Organism_49641	Craibiodendron yunnanense	Q10881077			
Organism_7606	Cratoxylum sumatranum	Q4346093			
Organism_16176	Crinum yemense	Q104993008			
Plant_Croton_grewioides	Croton grewioides	Q3004398			
Organism_26277	Cullen plicatum	Q15530585			
Organism_45642	Cylicodaphne sebifera				
Organism_25009	Daphne acutiloba	Q11038469			
Organism_20714	Datura candida	Q15528194	Datura × candida	label	
Organism_52876	Derris brevipes	Q15489225			
Organism_15730	Dimocarpus fumatus	Q15547606			
Organism_45164	Dipentodon sinicus	Q149378			
Plant_Diplotaenia_cachrydifolia	Diplotaenia cachrydifolia	Q15571860			
Organism_48152	Dolichopentas longiflora	Q15441034			
Organism_25287	Dorstenia dinklagei	Q15470956			
Organism_13078	Drypetes molunduana Pax and Hoffm				
Plant_Dysoxylum_ficiforme	Dysoxylum ficiforme	Q18083592			
Organism_1370	Echium humile	Q1280720			
Organism_44873	Echium rubrum	Q15586449	Echium rubrum Forssk.	alias	
Plant_Epicharis_densiflora	Epicharis densiflora	Q95943978			
Organism_44740	Erigeron linifolius				
Organism_50486	Erlangea fusca	Q38713452			
Organism_52176	Eucomis punctata	Q50828995			
Organism_23892	Fagara zanthoxyloides Lam.				
Organism_48847	Filipendula hexapetala	Q87625092			
Organism_15198	Frasera speciosa	Q3025675	elkweed	P1843	elkweed
Organism_23878	Fraxinus stylosa	Q10952275			
Organism_18218	Garcinia lucida	Q15391760			
Organism_54020	Gaultheria itoana	Q15249265			
Organism_47666	Genista lusitanica	Q21874314			
Organism_43871	Glycosmis parva	Q15392665			
Organism_2779	Gonocaryum calleryanum	Q10914862			
Organism_48151	Gynoxys nitida	Q15555455			
Organism_13990	Haloxylon recurvum	Q104912408			
Plant_Harpephyllum_afrum	Harpephyllum afrum	Q13036372	Kaffir plum	alias	
Organism_49674	Hedychium yunnanense	Q15249284			
Organism_9690	Helichrysum heterolasium	Q15581517			
Organism_20191	Heliotropium hirsutum				
Organism_45940	Hypericum uralum	Q10904200			
Organism_3493	Isodon albopilosus	Q15331228			
Organism_4956	Isodon leucophyllus	Q15332231			
Organism_48471	Juglans sinensis	Q41777809			
Organism_19909	Jurinea albicaulis	Q15593684			
Plant_Knautia_silvatica	Knautia silvatica				
Plant_Launea	Launea	Q21078651			
Organism_51235	Leptadenia hastata	Q18078671			
Organism_22765	Limonium sinense	Q15251113			
Organism_4270	Lindera megaphylla	Q10938569			
Organism_45659	Lotus albus	Q104920602			
Organism_44735	Maytenus horrida	Q15330417			
Organism_4014	Mezzettia leptopoda	Q15362892			
Organism_1455	Millettia leucantha	Q4921448			
Organism_11610	Millettia pulchra	Q10910348			
Organism_44862	Monomeria barbata	Q5223284			
Organism_16943	Monopteryx inpae	Q15535977			
Organism_25396	Morithamnus crassus	Q104916279			
Organism_18441	Mutisia spinosa	Q12246128	Reina mora	alias	
Organism_51573	Myrsine capitellata	Q21312048			
Organism_26341	Myrtopsis sellingii	Q18081733			
Organism_43956	Nauclea parva	Q15475620			
Organism_48393	Neolitsea daibuensis	Q5474294			
Organism_3657	Nicotiana bonariensis	Q15531083			
Organism_46723	Ormosia henryi	Q15236616			
Organism_6131	Osyris tenuifolia	Q7108276	Osyris lanceolata	label	
Organism_10848	Papaver pseudo-orientale	Q4275211	Oriental Poppy	alias	
Organism_10974	Parthenium fruticosum	Q15583465			
Plant_Passiflora_hybr	Passiflora hybr				
Organism_6846	Pearsonia cajanifolia	Q15539671			
Plant_Phyllagathis_rotundifolia	Phyllagathis rotundifolia	Q17588418			
Organism_51909	Phyllanthus simplex				
Organism_10905	Piper boehmeriaefolium				
Organism_13175	Pittocaulon filare				
Plant_Plectranthus_edulis	Plectranthus edulis				
Organism_47621	Pleurothyrium cinereum	Q15556599			
Organism_23231	Poa huecu	Q10807752			
Organism_7200	Polygala wattersii	Q15250837			
Organism_15079	Pratia nummularia	Q15246206			
Plant_Psidium_salutare	Psidium salutare	Q9627520			
Organism_47673	Pteris marginata				
Plant_Pteris_setuloso-costulata	Pteris setuloso-costulata				
Plant_Rhamnus_nepalensis	Rhamnus nepalensis	Q17241890			
Organism_18523	Rheum	Q7217716	rhubarb	P1843	rhubarb
Organism_48845	Roubieva multifida	Q65947566			
Organism_46442	Rubus xanthocarpus	Q3446554			
Organism_24822	Ryania speciosa	Q3934213			
Organism_6680	Salvia amplexicaulis Lam.				
Organism_6151	Sarcocapnos baetica	Q6121850			
Organism_50481	Schkuhria pusilla				
Organism_13002	Schleichera trijuga	Q87643823			
Plant_Scutellaria_Balcalensis	Scutellaria Balcalensis				
Organism_51093	Senecio callosus	Q15591035			
Organism_7133	Sideritis candicans var.eriocephala				
Organism_17168	Sideritis lotsyi	Q15367613			
Plant_Sigesbeckia_Pubescens	Sigesbeckia Pubescens	Q5762824			
Organism_23653	Skimmia reevesiana	Q11153452			
Organism_49275	Solanum arundo	Q17400601			
Organism_48273	Solanum berthaultii	Q3027039			
Organism_24356	Stachys plumosa Griseb.				
Organism_49829	Stemona saxorum	Q55960182			
Organism_9497	Stephania rotunda Lour.				
Organism_26394	Strychnos cathayensis	Q10906001			
Organism_21233	Swertia chinensis	Q21318007			
Organism_14689	Swertia mussotii	Q11055888			
Organism_2938	Syringa afghanica	Q21316830			
Organism_44166	Syzygium corticosum	Q15383259			
Organism_10693	Tephrosia watsoniana	Q15544164			
Organism_46504	Teucrium lanigerum	Q15372613			
Organism_6683	Thalictrum atriplex	Q15252083			
Organism_15268	Uncaria orientalis	Q15461119			
Organism_16714	Uvaria macrophylla	Q24849823			
Organism_50452	Valeriana cardamines	Q17435421			
Organism_16312	Ventilago calyculata	Q15236198			
Organism_51662	Verbascum undulatum	Q17748694			
Plant_Verbena_Littoralis	Verbena Littoralis	Q49632741			
Organism_49499	Zanthoxylum chiloperone	Q110793429			
Plant_Zinowiewia_integerrima	Zinowiewia integerrima	Q15337274			
Plant_actinomycete_sp.	actinomycete sp.				
Organism_50068	zinowiewia costaricensis	Q5437869			
Organism_7785	Acacia catechu	Q15535916			
Organism_45780	Acacia discolor	Q15289911			
Organism_23937	Acacia sp.				
Plant_Achillea_odorata	Achillea odorata	Q15586847			
Organism_23837	Adenocalymma alliaceum	Q50826877			
Organism_4922	Ajuga salicifolia	Q15339995			
Organism_52750	Allanblackia gabonensis	Q4731071			
Organism_3375	Alvaradoa haitiensis	Q17586842			
Organism_54243	Ambrosia arborescens	Q15584344			
Organism_49150	Amomum sulcatum	Q40087148			
Organism_52424	Angelica tschimganica	Q17133075			
Organism_24618	Anthocleista procera	Q2653319			
Plant_Aristolochia_holostylis	Aristolochia holostylis	Q15466666			
Plant_Aristolochia_macroura	Aristolochia macroura	Q15464684			
Organism_45338	Artemisia coerulescens				
Organism_47820	Artemisia deserti	Q15469526			
Organism_47096	Artemisia pedemontana	Q15470600			
Plant_Asarum_asperum	Asarum asperum	Q15545355			
Organism_8080	Aspidosperma marcgravianum	Q18077769			
Organism_48127	Aspilia bishoplecta	Q15588048			
Organism_48723	Astragalus flavescens	Q17443317			
Organism_51258	Astragalus orbiculatus	Q10926506			
Organism_15663	Baccharis rhetinodes	Q15591920			
Organism_46494	Badilloa salicina	Q15590985			
Organism_6126	Berberis oblonga	Q4077997			
Organism_45414	Berberis tabiensis	Q15312293			
Plant_Bletilla_ochracea	Bletilla ochracea	Q4926391			
Organism_43713	Blumea aromatica	Q15239398			
Organism_15660	Bonannia graeca	Q15565963			
Organism_856	Boswellia species				
Organism_17165	Cacalia hastata var.tamakae L.				
Plant_Calea_trichotoma	Calea trichotoma	Q55830288			
Organism_17844	Caragana intermedia	Q10876809			
Organism_46437	Caralluma stalagmifera	Q1035354			
Organism_35249	Caryocar coriaceum	Q5047715			
Organism_49030	Castanopsis eyrei	Q10912665			
Organism_9649	Catharanthus ovalis	Q9710429			
Plant_Chiliadenus_candicans	Chiliadenus candicans	Q15592285			
Organism_25811	Chondropetalum paniculatum	Q55841574			
Organism_48433	Chrysanthemum lavandulifolium	Q21263416			
Organism_5430	Cimicifuga heracleifolia	Q10933343			
Organism_5900	Cinnamosma fragrans	Q17243958			
Organism_23888	Citrus yuko	Q22114124			
Organism_17709	Clausena heptaphylla Wt.et Arn.				
Organism_9440	Cleome spinosa	Q911506	spiny spiderflower	P1843	spiny spiderflower
Organism_54060	Clibadium glabrescens	Q15548326			
Organism_45739	Clusia multiflora	Q5775225			
Organism_9761	Codonopsis tangshen OLIV.				
Organism_5223	Comanthosphace japonica	Q10939064			
Organism_2342	Conyza pyrifolia	Q38758546			
Organism_16975	Corchorus depressus	Q15363094			
Organism_5176	Crataegus sanguinea	Q2995056	Siberian Hawthorn	alias	
Organism_2265	Crinum amabile	Q15506389	Crinum ×amabile	alias	
Organism_48135	Curcuma oligantha	Q15327112			
Plant_Cydonia	Cydonia	Q13418162	cydonia	P1843	cydonia; Quince
Organism_8685	Cymopolia barbata	Q69713454			
Organism_49869	Cynanchum formosanum	Q10914764			
Organism_48689	Cynanchum viminale	Q15398109			
Organism_45934	Dacrydium comosum	Q5207747			
Organism_18660	Dehaasia longipedicellata	Q15610161			
Organism_9288	Delphinium crispulum	Q15371235			
Organism_8298	Diospyros ismailii	Q15339955			
Organism_51537	Endospermum diadenum	Q15375660			
Organism_45778	Enterospermum pruinosum	Q98091007			
Plant_Erycibe_Hainanesis	Erycibe Hainanesis				
Plant_Etlingera_pavieana	Etlingera pavieana	Q15327986			
Organism_2280	Eupatorium sachalinense	Q50840859			
Organism_3056	Ferula pallida	Q15580259			
Organism_7330	Ficus beecheyana	Q50841189			
Plant_Filago_congesta	Filago congesta	Q15598698			
Organism_14102	Garcinia atroviridis	Q4920519			
Organism_16570	Garcinia vilersiana	Q15386510			
Organism_45620	Girgensohnia diptera	Q15589986			
Organism_53192	Glossocalyx brevipes	Q18079789			
Organism_45767	Gymnosporia arbutifolia	Q15342961			
Organism_9695	Handelia trichophylla	Q15628538			
Organism_14231	Haplophyllum patavinum	Q14529418			
Plant_Helenium_argentinum	Helenium argentinum	Q15559333			
Organism_2745	Helichrysum forskahlii	Q15581886			
Organism_7981	Helichrysum nitens	Q15581873			
Organism_12478	Himatanthus sucuuba	Q10374660			
Organism_24346	Hornschuchia citriodora	Q15362225			
Organism_2257	Hymenoxys insignis	Q15588607			
Plant_Incarvillea_diffusa	Incarvillea diffusa	Q21276811			
Organism_46847	Ipomoea tuberosa	Q21875658			
Plant_Isodon	Isodon	Q931964			
Plant_Jasminanthes_mucronata	Jasminanthes mucronata	Q15251297			
Organism_30150	Kippistia suaedifolia	Q6414685			
Plant_Kunzea_salina	Kunzea salina	Q17595622			
Organism_22265	Lamiophlomis rotata	Q15252167			
Organism_47087	Lasiosiphon kraussianus	Q50846258	Lesser Yellow-head	alias	
Organism_867	Launaea resedifolia	Q28935837			
Organism_48131	Lepechinia glomerata	Q15338979			
Organism_47966	Licaria brasiliensis	Q15611709			
Plant_Ligularia_amplexicaulis	Ligularia amplexicaulis	Q51777625			
Organism_47407	Linum capitatum	Q1494701			
Organism_13243	Litsea acutivena	Q15246604			
Organism_51483	Litsea pedunculata	Q15236282			
Organism_52188	Lophanthus chinensis	Q11076264			
Plant_Lophozia_hatcheri	Lophozia hatcheri	Q17290399			
Organism_52425	Lysimachia patungensis	Q11058462			
Organism_10816	Maackia tenuifolia	Q10890230			
Organism_46838	Madhuca utilis	Q15326475			
Plant_Malus	Malus	Q104819	apple	P1843	apple
Plant_Mangifera_persiciformis	Mangifera persiciformis	Q15545204	Mangifera persiciforma	label	
Organism_17777	Maytenus apurimacensis	Q15330239			
Plant_Meistera_aculeata	Meistera aculeata	Q89161909			
Organism_51660	Melodinus khasianus	Q11089953			
Organism_13783	Melodinus tenuicaudatus	Q15225118			
Organism_50373	Mentha sp.				
Plant_Mesua_assamica	Mesua assamica	Q15366186	Sia Nahor	alias	
Organism_13066	Miliusa cuneata	Q17139864			
Organism_18238	Myrtopsis macrocarpa	Q18074761			
Plant_Narcissus	Narcissus	Q29465	daffodil	alias	
Organism_15877	Nardosmia laevigata	Q87637855			
Organism_51572	Nicotiana affinis	Q110536370			
Organism_51308	Ocotea acutifolia	Q6048505			
Organism_14929	Onosma hispida	Q17417167	Onosma hispidum	alias	
Plant_Origanum_acutidens	Origanum acutidens	Q15349366			
Organism_48138	Ottonia ovata	Q110665178			
Organism_7516	Phebalium tuberculosum ssp. megaphyllum				
Organism_49657	Phlomoides hamosa	Q28432592			
Organism_46840	Phyllanthus maderaspatensis	Q11175706	Madras leaf-flower	P1843	Madras leaf-flower
Organism_18773	Picramnia latifolia	Q17586813			
Plant_Pittosporum_phillyraeoides	Pittosporum phillyraeoides	Q104921012			
Organism_3334	Pleurospermum rivulorum	Q11072009			
Organism_19788	Polyalthia stenopetala	Q15365850			
Organism_12972	Polyalthia suaveolens	Q15366039			
Organism_8948	Populus cathayana	Q3206216			
Organism_15047	Potentilla sp.				
Organism_17352	Pyrrosia davidii	Q10905501			
Organism_13644	Rabdosia nervosa	Q15224057			
Organism_21284	Rauvolfia mannii	Q3420217			
Organism_24265	Relbunium hypocarpium	Q49522052			
Organism_52719	Rhaponticum integrifolium	Q15601391			
Organism_50559	Rhodiola heterodonta	Q15232018	Toothed Rhodiola	alias	
Organism_49580	Roldana sessilifolia	Q21398565			
Plant_Rosmarinus_sp.	Rosmarinus sp.				
Organism_44762	Salvia dugesii	Q104919603			
Plant_Santisukia_kerrii	Santisukia kerrii	Q15539250			
Organism_53706	Santolina canescens	Q98115725			
Organism_3462	Scabiosa tschiliensis	Q10905516			
Organism_3001	Sedum takesimense Nakai				
Organism_6859	Sophora franchetiana	Q15228181			
Organism_20508	Stemonoporus affinis	Q3019214			
Organism_54051	Stevia seleriana	Q15445100			
Organism_21452	Symplocos lancifolia	Q10890132			
Organism_2192	Tabernaemontana orientalis R.Br.				
Organism_49663	Tecoma heptaphylla				
Organism_1064	Terminalia species				
Organism_44188	Tetradenia glauca				
Organism_6698	Thalictrum glandulosissimum	Q15246786			
Plant_Thymus_saturejoides	Thymus saturejoides	Q15372584			
Organism_46802	Trichocereus bridgesii	Q41793332			
Organism_14572	Uncaria sessilifructus	Q15245174			
Organism_49579	Vallaris glabra	Q12701110			
Organism_19898	Vernonia guineensis	Q15566156			
Organism_3201	Virola carinata	Q10832694			
Organism_54939	Wikstroemia hainanensis	Q17581201			
Organism_17874	Xylopia columbiana	Q15366291			
Plant_blue_water-speedwell	blue water-speedwell	Q159711	water speedwell	P1843	water speedwell; blue water-speedwell; brook pimpernel; Blue Water-speedwell; Water Speedwell; Brook Pimpernel
Plant_borage	borage	Q147075	common borage	P1843	common borage
Organism_45095	ixeris dentata	Q5710382			
Organism_2210	Acanthopanax koreanum				
Organism_32168	Aconitum vulparia aggr. (A. altissimum Mill., A. lamarckii Rchb., A. penninum (Ser.) Gayer and A. x platanifolium Degen & Gayer)				
Plant_Aframomum_cereum	Aframomum cereum	Q15318515			
Organism_5577	Aglaia silvestris	Q4692829			
Plant_Alpinia_breviligulata	Alpinia breviligulata	Q10811801			
Organism_54092	Antidesma pentandrum	Q10882132			
Organism_30854	Arcangelisia Flava	Q15322211			
Organism_57507	Artemisia baldshuanica	Q15469892			
Organism_51185	Asparagus adscendens	Q15522563			
Organism_1720	Aspilia mossambicensis	Q15589632	wild sunflower	alias	
Organism_48894	Astragalus amarus	Q15508457			
Organism_45772	Boehmeria platyphylla	Q4937100			
Organism_16228	Brainea insignis	Q15247334			
Organism_49179	Bridelia balansae	Q10898565			
Plant_Bupleurum_gibraltaricum	Bupleurum gibraltaricum	Q17131889			
Plant_Burmese_Lacquer_Tree	Burmese Lacquer Tree	Q15545369	Gluta usitata	label	
Organism_15701	Calea hispida	Q104938588			
Plant_Callitris_hugelii	Callitris hugelii	Q17133309			
Organism_14443	Camellia sp.				
Organism_10353	Caragana spinosa	Q10932464			
Plant_Caroxylon_tetrandrum	Caroxylon tetrandrum	Q17241823	Salsola tetrandra	alias	
Organism_16087	Casearia grewiifolia	Q18119727			
Organism_51065	Centaurea ferox	Q15564948			
Organism_55018	Centaurea paui	Q15350553			
Organism_1698	Centaurea sinaica	Q15570139			
Organism_5231	Centaurea thessala ssp.drakiensis				
Organism_8434	Ceratocapnos heterocarpa	Q5648154			
Plant_Cherry_Orange	Cherry Orange	Q2974526	Citrus kinokuni	alias	
Plant_Chrozophora_verbascifolia	Chrozophora verbascifolia	Q25695926			
Plant_Citrus_hybr	Citrus hybr				
Organism_974	Commiphora confusa	Q15543100			
Organism_50086	Cordia elaeagnoides	Q15577011			
Organism_11350	Corydalis mucronifera	Q11038507			
Plant_Costus_tonkinensis	Costus tonkinensis	Q10890227			
Organism_22715	Croomia heterosepala	Q15542517			
Organism_51252	Crotalaria sericea	Q87618151			
Organism_48437	Croton cascarilloides	Q3004097			
Organism_21743	Darlingia ferruginea	Q5223953			
Organism_13828	Dioscorea parviflora	Q10960205			
Organism_17175	Diospyros japonica	Q15340551			
Organism_12486	Duroia hirsuta	Q1955787			
Plant_Elliottia_paniculata	Elliottia paniculata	Q11337822			
Organism_8710	Emmotum nitens	Q18072642			
Plant_Eremophila_spp.	Eremophila spp.				
Organism_15615	Eria confusa	Q109522426			
Organism_997	Erythrina schliebenii	Q2712003			
Organism_50353	Eulophia ochreata	Q15444050			
Organism_54303	Euonymus revolutus	Q15330107			
Organism_52973	Euphorbia makinoi	Q10958092			
Plant_Falconeria_insignis	Falconeria insignis	Q15390134			
Organism_18444	Fritillaria ebeiensis	Q104390042			
Organism_47887	Gardenia carinata	Q13018265			
Organism_19113	Geijera balansae	Q15399155			
Organism_51373	Gentianella nitida	Q13859874			
Organism_43922	Gnaphalium oligandrum	Q98096984			
Plant_Guatteria_guianensis	Guatteria guianensis	Q15360186			
Organism_18567	Gynostemma yixingense	Q10923536			
Organism_49373	Hemsleya graciliflora	Q15240154			
Organism_49004	Hypericum caprifoliatum	Q17565843			
Organism_11464	Islaya minor	Q109406939			
Plant_Isodon_Trichocarpa	Isodon Trichocarpa				
Organism_20000	Isodon macrocalyx	Q15331431			
Plant_Isolona_congolana	Isolona congolana	Q5433945			
Plant_Isolona_maitlandii	Isolona maitlandii	Q98100799			
Organism_43923	Ixeris denticulata	Q15240099			
Organism_7821	Juniperus sp.				
Organism_3438	Kopsia deverrei	Q15358572			
Organism_53871	Leopoldia comosa	Q22105713			
Organism_62	Leucophyllum ambiguum	Q15593823			
Organism_24670	Loxothysanus sinuatus	Q15552763			
Organism_28861	Malva rotundifolia	Q21976277			
Organism_18500	Maytenus ilicifolia	Q6007781			
Organism_51516	Maytenus imbricata	Q17249848			
Organism_3720	Melia dubia	Q772846			
Organism_16544	Metrodorea flavida	Q15395537			
Organism_46492	Montanoa guatemalensis	Q15565089			
Organism_6539	Morina chinensis	Q10926628			
Organism_4293	Moronobea coccinea	Q15366705			
Plant_Mosla_cavaleriei	Mosla cavaleriei	Q10960242			
Organism_53068	Narthecium asiaticum	Q11297926			
Organism_44348	Nervilia purpurea	Q55907057			
Plant_Nidorella_elliotii	Nidorella elliotii	Q104915964			
Plant_Nuphar_Japonicum	Nuphar Japonicum	Q17253162			
Organism_48467	Onopordum anatolicum	Q15572607			
Plant_Pachyrrhizus_erosus	Pachyrrhizus erosus	Q104976324			
Organism_12360	Papaver dubium var.glabrum.				
Organism_24498	Papaver macrostomum Boiss.et Huet				
Organism_49559	Parinari campestris	Q7137123			
Organism_15224	Parinari sprucei				
Organism_11378	Pentzia eenii				
Organism_8259	Peperomia sui				
Organism_43928	Petalostemon gattingeri				
Organism_49404	Phagnalon atlanticum	Q98109877			
Organism_47547	Picralima nitida	Q12065824			
Organism_11033	Pinus sp.				
Organism_12796	Piper schmidtii	Q18038101			
Organism_19691	Piper trichostachyon	Q15608798			
Organism_14340	Polygala chinensis	Q15578937	Polygala glomerata	alias	
Organism_52494	Psephellus bellus	Q15602583			
Organism_46659	Pteris australis	Q12212464			
Organism_46932	Rehmannia chingii	Q10940518			
Plant_Reniera_sp.	Reniera sp.	Q40665597			
Organism_13110	Rhododendron capitatum	Q10942006			
Plant_Rosenbergiodendron_formosum	Rosenbergiodendron formosum	Q14861856			
Organism_48466	Salix japonica	Q7404899			
Organism_47438	Santolina insularis	Q15551309			
Organism_44270	Scabiosa pyrenaica	Q17436206			
Organism_50358	Senecio ilicifolius	Q15597098			
Organism_51518	Senecio toluccanus	Q15601922			
Organism_9650	Sideritis angustifolia	Q11904221			
Organism_44784	Sideritis argyrea	Q15366052			
Organism_50838	Solidago chinensis				
Plant_Sorocea_guilleminiana	Sorocea guilleminiana	Q7563612			
Organism_46644	Stenomesson miniatum	Q15504984			
Organism_20623	Stevia porphyrea	Q49524636			
Organism_13484	Streptocarpus dunnii	Q15445220			
Organism_6004	Strophioblachia fimbricalyx	Q15382981			
Organism_22484	Strychnos dolichothyrsa	Q18074330			
Organism_12278	Swartzia laevicarpa	Q15483463			
Organism_44771	Tessaria fastigiata	Q15558289			
Organism_6943	Trigonostemon chinensis	Q10865790			
Organism_47973	Tynanthus panurensis	Q15553222			
Organism_47326	Uncaria donisii	Q15461371			
Organism_47358	Uncaria perrottetii	Q15461326			
Organism_47109	Verbascum spinosum	Q17748781			
Organism_2333	Walsura yunnanensis	Q10880767			
Organism_3574	Werneria nubigena	Q15571238			
Organism_52972	Wettsteinia inversa	Q15317792			
Plant_Wikstroemia_canescens	Wikstroemia canescens	Q17581218			
Organism_28974	Xylocarpus rumphii	Q15527297			
Organism_46642	Xylopia brasiliensis	Q8045503			
Organism_17176	Zanthoxylum planispinum	Q8066285			
Organism_44738	casearia balansae	Q15247785			
Organism_47135	Achillea lycaonica	Q15586095			
Plant_Achillea_sp.	Achillea sp.				
Plant_Actinostemma_tenerum	Actinostemma tenerum	Q10916786			
Organism_54000	Ankistrodesmus braunii				
Organism_44869	Arisaema curvatum				
Organism_21061	Aristolochia constricta	Q80704809			
Organism_13228	Artemisia feddei	Q15471392			
Organism_51891	Artocarpus nitidus	Q15470728			
Organism_21376	Beaumontia brevituba	Q11080718			
Plant_Berberis_turcomanica	Berberis turcomanica	Q104924292			
Organism_9562	Boronia bipinnata	Q15387606			
Organism_53990	Bothriocline laxa	Q15549135			
Organism_9624	Brasilia sickii	Q109673434			
Organism_22561	Brickellia diffusa	Q15551476			
Plant_Buxus_papilosa	Buxus papilosa				
Organism_20556	Caesalpinia major	Q21248270	Hawai'i pearls	P1843	Hawai'i pearls
Organism_53344	Campylospermum flavum	Q17556782			
Organism_51608	Casearia arguta	Q18119678			
Organism_1476	Centaurea africana	Q5760584			
Organism_10927	Centaurea canariensis	Q98082610			
Organism_50909	Centaurea deflexa	Q15565319			
Organism_48792	Cheilanthes mysurensis	Q38242157			
Plant_Cinchona_robusta	Cinchona robusta	Q104096223			
Organism_14647	Clathrotropis glaucophylla	Q15529304			
Organism_54062	Climacoptera lanata	Q15589913	Salsola lanata	alias	
Organism_8204	Clusia nemorosa	Q15353965			
Plant_Collinsonia_japonica	Collinsonia japonica	Q15312607			
Organism_19640	Consolida ambigua	Q50839091			
Plant_Cornus_sp.	Cornus sp.				
Organism_5113	Craibiodendron henryi	Q11109489			
Organism_51343	Crepis crocea	Q10903073			
Organism_16888	Crinum pratense Herb.				
Plant_Croton_nepetifolius	Croton nepetifolius	Q3004810			
Organism_14433	Cudrania javanensis	Q50828694			
Organism_3378	Dalbergia volubilis	Q15531930			
Plant_Dendranthema_sp.	Dendranthema sp.				
Organism_2987	Deprea subtriflora	Q15528654			
Organism_50988	Dracocephalum peregrinum	Q1455047			
Organism_21391	Eleutherococcus koreanus	Q104838332			
Plant_Eleutherococcus_nodiflorus	Eleutherococcus nodiflorus	Q15552166			
Organism_14795	Ervatamia hainanensis	Q11150032			
Plant_Espeletia_timotensis	Espeletia timotensis	Q38719908			
Organism_22613	Euphorbia indica	Q15385695			
Organism_52575	Euphorbia salicifolia	Q4300981			
Organism_48988	Euryops rupestris	Q15597999			
Organism_30546	Galium Sp	Q159316	False Cleavers	P1843	False Cleavers; Marin County bedstraw; stickwilly
Organism_51458	Garcinia brasiliensis	Q15391908			
Organism_51477	Garcinia yunnanensis	Q10881047			
Organism_43818	Gerbera lanuginosa				
Plant_Glycine	Glycine	Q311395	soybean	P1843	soybean
Organism_7587	Heteroplexis microcephala	Q24850742			
Organism_19	Hofmeisteria schaffneri	Q15591265			
Organism_18562	Homalanthus acuminatus	Q15392666			
Organism_50783	Hopea chinensis	Q5485804			
Plant_Hydnocarpus_octandra	Hydnocarpus octandra	Q256911			
Plant_Hypericum_brasiliense	Hypericum brasiliense	Q17565854			
Plant_Ilex_oldhami	Ilex oldhami	Q50842358	Ilex oldhamii	label	
Organism_47427	Inula nervosa	Q11089108			
Organism_8115	Isodon flavidus	Q15331974			
Organism_15361	Isodon gesneroides	Q15332296			
Organism_53341	Jacobaea persoonii				
Organism_2642	Jasonia tuberosa				
Plant_Juniperus_spp.	Juniperus spp.				
Organism_46498	Knema globularia				
Organism_9652	Kopsia lapidilecta	Q15358132			
Organism_1039	Laggera tomentosa	Q104984435			
Organism_45913	Leandra lacunosa	Q15391345			
Organism_53995	Lonchocarpus longistylus	Q15471719			
Organism_25889	Macfadyena cynanchoides				
Organism_54530	Machilus obovatifolia	Q10888199			
Organism_53469	Maesa balansae	Q15251975			
Organism_18191	Mandragora vernalis	Q50844866			
Organism_51307	Margyricarpus setosus	Q50844018			
Organism_7337	Maytenus chubutensis	Q15331155			
Organism_20458	Melicope sarcococca				
Plant_Minthostachys_glabrescens	Minthostachys glabrescens	Q15343486			
Plant_Monteverdia_spinosa	Monteverdia spinosa	Q90492993			
Organism_9225	Ochrocarpos punctatus				
Organism_51147	Ocotea minarum	Q15609207			
Plant_Oleandra_wallichii	Oleandra wallichii	Q15235698			
Plant_Oligochaeta_divaricata	Oligochaeta divaricata	Q15572789			
Organism_16365	Opuntia vulgaris	Q39071847			
Organism_45894	Ormosia amazonica	Q15484171			
Plant_Petunia_hybr	Petunia hybr	Q104908614	Petunia hybrid cultivar	label	
Organism_22924	Peyrousea umbellata				
Organism_15656	Picrasma crenata	Q7191077			
Organism_35291	Pilocarpus grandiflorus	Q18077194			
Organism_4103	Piper arborescens	Q10893588			
Organism_51097	Piper scutifolium	Q18038095			
Organism_47626	Plagiocheilus prostratus	Q109677719			
Organism_26655	Plagiochila fruticosa	Q17269639			
Organism_21824	Platycarpha glomerata	Q15596626			
Organism_23137	Plectranthus comosus	Q50985554			
Organism_19187	Pleiotaxis rugosa	Q15601015			
Organism_50149	Pluchea rosea	Q15445870	rosy camphorweed	P1843	rosy camphorweed
Organism_8075	Pristimera indica	Q11075650			
Organism_52426	Pteris longipes	Q10866932			
Organism_12203	Ptychopetalum olacoides	Q186435			
Organism_9666	Rhamnus petiolaris	Q7320179			
Organism_46355	Rhododendron ovatum	Q15390894			
Organism_24785	Salvia breviflora	Q15358249			
Organism_19067	Scorzonera cretica	Q2260634			
Organism_29309	Scyphiphora hydrophyllacea	Q104249507			
Organism_51751	Senecio kilimanjari	Q38725097			
