# per-organism common-name source; precedence gbif/ncbi > wikidata > duke
organism_id	scientific_name	common_name	source
Organism_29907	Planchonia careya	Billygoat Plum	gbif
Plant_Platycapnos_spicatus	Platycapnos spicatus	Spiked Fumitory	gbif
Organism_22891	Podocarpus nubigenus	Chilean podocarp	gbif
Organism_14340	Polygala chinensis	Polygala glomerata	wikidata
Organism_46496	Polygonatum stenophyllum	Narrow-leaf solomon’s seal	gbif
Organism_16952	Polygonum maritimum	Sea Knotgrass	gbif
Organism_15548	Populus angustifolia	narrow-leaved cottonwood	gbif
Organism_7670	Potentilla fruticosa	Shrubby Cinquefoil	gbif
Organism_29512	Prumnopitys ferruginea	Miro	gbif
Organism_31916	Quercus cerris L.	Turkey Oak	gbif
Plant_Rubus_ulmifolius	Rubus ulmifolius	elm-leaved blackberry	gbif
Organism_13640	Saraca asoca	Ashoka	gbif
Organism_5932	Solanum americanum	American black nightshade	gbif
Organism_18625	Solanum capsicastrum	Winter-cherry	gbif
Organism_15101	Tetragonia tetragonoides	Common Tetragonia	gbif
Organism_31957	Teucrium chamaedrys L.	Wall Germander	gbif
Organism_21961	Teucrium gnaphalodes	Iberian pindi koora	gbif
Organism_25959	Teucrium viscidum var.miquelianum	Procumbent sticky germander	gbif
Organism_24378	Thymus pannonicus	Eurasian thyme	gbif
Organism_21122	Ulmus glabra	Scotch elm	gbif
Organism_9100	Ulva rigida	Sea Lettuce	gbif
Organism_26059	Urospermum dalechampii	smooth golden fleece	gbif
Organism_17758	Vernonia cinerea	Ironweed	gbif
Organism_25744	Veronica arvensis	Wall Speedwell	gbif
Organism_4222	Veronica bellidioides	Violet Speedwell	gbif
Organism_7198	Vigna aconitifolia	Moth Bean	gbif
Organism_15510	Visnea mocanera	Mocan	gbif
Organism_26130	Wikstroemia monticola	montane false ohelo	gbif
Plant_Wrightia_antidysenterica	Wrightia antidysenterica	Tellicherry bark	ncbi
Organism_15050	Wyethia angustifolia	California compassplant	gbif
Organism_10299	Ziziphus nummularia	jujube	gbif
Plant_obedient_plant	obedient plant	false dragonhead	ncbi
Organism_12621	Abies amabilis	Pacific Silver Fir	gbif
Organism_14584	Acacia fasciculifera	Rosewood	gbif
Organism_29462	Acacia pulchella	Prickly Moses	gbif
Organism_43749	Aesculus glabra	Ohio Buckeye	gbif
Organism_1002	Ajuga iva	Southern Bugle	gbif
Organism_2256	Amaryllis belladonna	Jersey Lily	gbif
Organism_2726	Ambrosia trifida	Giant Ragweed	gbif
Organism_46798	Amsinckia lycopsoides	Scarce Fiddleneck	gbif
Organism_1740	Anvillea garcinii	Arabian oxeye	gbif
Organism_1626	Arisarum vulgare	Friar's-cowl	gbif
Plant_Arivela_viscosa	Arivela viscosa	Asian Spiderflower	gbif
Organism_46375	Arnica angustifolia	Arctic Arnica	gbif
Plant_Artemisia_lancea	Artemisia lancea	Fedde’s wormwood	gbif
Organism_18420	Artemisia latifolia	Wide-leaf wormwood	gbif
Organism_25564	Artemisia tripartita ssp. rupicola	Wyoming threetip sagebrush	gbif
Organism_53027	Baccharis angustifolia	narrow-leaf baccharis	gbif
Organism_6641	Balduina uniflora	oneflower honeycombhead	gbif
Organism_5489	Baptisia bracteata	Plains wild indigo	gbif
Organism_5490	Baptisia calycosa	Florida wild indigo	gbif
Organism_5491	Baptisia nuttalliana	Nuttall's Wild Indigo	gbif
Organism_8660	Baptisia perfoliata	catbells	gbif
Organism_1910	Boraginaceae	borage family	ncbi
Organism_17066	Bougainvillea glabra	Bougainvillea	gbif
Organism_14193	Brickellia cylindracea	Hill Country Brickellbush	gbif
Organism_11813	Buphthalmum salicifolium	Willow-leaved Yellow Oxeye	gbif
Organism_20556	Caesalpinia major	Hawai'i pearls	wikidata
Organism_45818	Cenchrus setaceus	African Fountain Grass	gbif
Organism_5145	Centaurea melitensis L.	Maltese Star-thistle	gbif
Organism_439	Ceratozamia kuesteriana	Cycad	gbif
Organism_350	Chara globularis	Fragile Stonewort	gbif
Organism_20075	Chlorophora excelsa	African teak	gbif
Organism_45171	Cirsium carolinianum	Carolina thistle	gbif
Organism_172	Citrullus vulgaris	watermelon	ncbi
Organism_54062	Climacoptera lanata	Salsola lanata	wikidata
Organism_2498	Clinopodium vulgare	Wild Basil	gbif
Organism_15375	Colchicum ritchii	Egyptian Autumn Crocus	gbif
Organism_29437	Corymbia torelliana	Cadaghi	gbif
Organism_7038	Costus speciosus	canereed	gbif
Plant_Cota_altissima	Cota altissima	Southern Chamomile	gbif
Organism_21508	Crepis zacintha (L.) Loisel	Striped Hawksbeard	gbif
Organism_14054	Crinodendron hookerianum	Chilean lanterntree	gbif
Organism_4788	Cryptocarya obovata	Australian laurel	gbif
Plant_Cynara_cornigera	Cynara cornigera	White Artichoke	gbif
Organism_51074	Dahlia merckii	Bedding Dahlia	gbif
Organism_52716	Delphinium zalil	zalil	gbif
Organism_6587	Dicentra spectabilis	Bleeding heart	gbif
Organism_1250	Dichrocephala integrifolia	Auriculate Dichrocephala	gbif
Organism_26755	Digitalis ferruginea	Rusty Foxglove	gbif
Organism_21170	Echinocereus triglochidiatus	Mound Hedgehog Cactus	gbif
Organism_3927	Echium italicum	Pale Bugloss	gbif
Organism_1101	Equisetum ramosissimum	Branched Horsetail	gbif
Organism_49677	Euphorbia ingens	Cactus spurge	gbif
Organism_29975	Eupomatia bennettii	small bolwarra	gbif
Organism_2207	Eustoma grandiflorum	prairie gentian	ncbi
Organism_29553	Fontainea picrosperma	blushwood tree	gbif
Organism_20784	Fumaria judaica Boiss	Judean Fumitory	gbif
Organism_30546	Galium Sp	False Cleavers	wikidata
Organism_17453	Genista pilosa	Hairy Greenweed	gbif
Plant_Glycine	Glycine	soybean	wikidata
Organism_16690	Harpullia ramiflora	Cape York Tulipwood	gbif
Plant_Heliotropium_sarmentosum	Heliotropium sarmentosum	Tree heliotrope	gbif
Organism_6162	Heteranthemis viscidehirta	Sticky Oxeye	gbif
Organism_47713	Hippocrepis emerus	Scorpion Senna	gbif
Organism_53360	Hylotelephium telephium	Garden Stonecrop	gbif
Organism_8461	Hypericum calycinum	Rose-of-Sharon	gbif
Plant_Ilex_oldhami	Ilex oldhami	Ilex oldhamii	wikidata
Organism_3259	Ipomoea asarifolia	Ginger-Leaf Morning-Glory	gbif
Plant_Ipomoea_capillacea	Ipomoea capillacea	purple morning-glory	gbif
Organism_9436	Iris potaninii	Potanin Iris	gbif
Organism_47151	Kalanchoe delagoensis	Chandelier Plant	gbif
Organism_10563	Kalanchoe lanceolata	Narrow-leaved kalanchoë	gbif
Organism_55736	Lecocarpus pinnatifidus	Floreana daisy	gbif
Organism_5	Ligusticum porteri	Oshá	gbif
Plant_Ligustrum_japonicus	Ligustrum japonicus	Japanese Privet	gbif
Organism_3498	Lithocarpus polystachyus	sweet-tea	gbif
Organism_18110	Lophocolea heterophylla	Variable-leaved Crestwort	gbif
Organism_9745	Lotus edulis	Edible Bird's-foot Trefoil	gbif
Organism_13233	Maesopsis eminii	Umbrella Tree	gbif
Organism_1608	Matricaria recutita	Scented Mayweed	gbif
Organism_53631	Melilotus indicus	Small Melilot	gbif
Plant_Mitracarpus_hirtus	Mitracarpus hirtus	Tropical Girdlepod	gbif
Organism_15257	Mitragyna parvifolia	True Kadamb	gbif
Organism_25440	Monochaetum vulcanicum	volcano monochaetum	gbif
Organism_2279	Ophiorrhiza japonica	Japanese Ophiorrhiza	gbif
Organism_46532	Opuntia cochenillifera	cochineal cactus	gbif
Organism_5480	Pancratium canariense	Canary Sea Daffodil	gbif
Organism_15648	Parentucellia latifolia	Broadleaf Glandweed	gbif
Organism_12116	Peltophorum pterocarpum	Peltophorum	gbif
Organism_49720	Pentarhizidium orientale	Oriental ostrich fern	gbif
Plant_Petunia_hybr	Petunia hybr	Petunia hybrid cultivar	wikidata
Organism_32150	Peucedanum ostruthium (L.) W. D. J. Koch	Masterwort	gbif
Plant_Phlebodium_aureum	Phlebodium aureum	Blue-star Fern	gbif
Organism_8390	Phyllanthus reticulatus	Potato bush	gbif
Organism_47061	Picea neoveitchii	Veitch's Spruce	gbif
Organism_20720	Pinus gerardiana	Gerrard's Pine	gbif
Organism_49882	Pinus monophylla	Single Leaf Pinyon Pine	gbif
Organism_51055	Plocama calabrica	Stinking Madder	gbif
Organism_50149	Pluchea rosea	rosy camphorweed	wikidata
Organism_12614	Podocarpus neriifolius	Brown Pine	gbif
Organism_9932	Pongamia glabra	Indian beech tree	ncbi
Organism_20313	Potamogeton natans	Broad-leaved Pondweed	gbif
Organism_25131	Premna microphylla	Japanese premna	gbif
Organism_50922	Prunus mandshurica	Manchurian apricot	gbif
Organism_44795	Prunus nipponica	Japanese Alpine Cherry	gbif
Organism_25261	Pseudotsuga japonica	Japanese Douglas-fir	gbif
Organism_10414	Psorothamnus arborescens	Mojave indigobush	gbif
Organism_12203	Ptychopetalum olacoides	Muira Puama	duke
Plant_Pycnanthemum_floridanum	Pycnanthemum floridanum	Florida mountain-mint	gbif
Organism_53954	Quercus ithaburensis subsp. macrolepis	Vallonea oak	gbif
Organism_52478	Rhododendron lepidotum	Scaly rhododendron	gbif
Plant_Rhynchospora_colorata	Rhynchospora colorata	Star sedge	gbif
Organism_51765	Rotheca serrata	Blue Fountain Bush	gbif
Organism_20756	Rothmannia globosa	September Bells	gbif
Plant_Rubus_plicatus	Rubus plicatus	Plaited-leaved Bramble	gbif
Organism_15719	Salicornia europaea	chicken-claws	ncbi
Organism_46231	Salvia hypargeia	Turkish Mountain Sage	gbif
Organism_26523	Satureja hortensis	Summer Savory	gbif
Organism_5083	Scoparia dulcis	Sweet Broom	gbif
Organism_956	Senecio jacobaea	stinking willie	ncbi
Plant_Senegalia_berlandieri	Senegalia berlandieri	Berlandier acacia	gbif
Organism_46207	Spiraea cantoniensis	Bridal Wreath	gbif
Organism_24353	Stachys germanica L.	Downy Woundwort	gbif
Organism_16914	Stephania glabra	Indian Tape-Vine	duke
Organism_51336	Stranvaesia davidiana	Chinese photinia	gbif
Organism_47730	Tacca integrifolia	White Bat Flower	gbif
Plant_Tetradium_daniellii	Tetradium daniellii	Bee bee tree, Korean euodia	gbif
Organism_48249	Ulva clathrata	Spiky Tendrils	gbif
Organism_54120	Ulva intestinalis	Gutweed	gbif
Organism_50148	Xanthorrhoea media	gadi	wikidata
Organism_22270	Acacia ehrenbergiana	Salam	wikidata
Organism_26588	Adonis mongolica	Mongolian Adonis	gbif
Organism_1252	Aloe barbadensis	acibar	ncbi
Plant_Alpinia_purpurata	Alpinia purpurata	Red Ginger	gbif
Organism_8131	Ammocharis coranica	Ammocharis	gbif
Organism_1634	Anagallis monelli	flaxleaf pimpernel	wikidata
Organism_4742	Arabis hirsuta	Hairy Rock-cress	gbif
Organism_52106	Arctanthemum arcticum	Arctic Daisy	gbif
Organism_23798	Arctotis venusta	African daisy	gbif
Plant_Ardisiae_japonicae	Ardisiae japonicae	Japanese ardisia	gbif
Organism_5076	Artemisia filifolia	sand sagebrush	gbif
Organism_26108	Artemisia koidzumii	Job’s tears wormwood	gbif
Organism_11050	Artemisia sylvatica	Woodland wormwood	gbif
Organism_1490	Asparagus africanus	African Asparagus	gbif
Organism_49727	Aster altaicus	Altai Heteropappus	gbif
Organism_52001	Astragalus curvicarpus	curve-pod milk-vetch	gbif
Organism_9073	Austroeupatorium inulifolium	Whiteweed	gbif
Organism_13533	Ballota nigra	Black Horehound	gbif
Organism_7991	Betula platyphylla var. japonica	Betula platyphylla japonica	wikidata
Organism_52628	Boehmeria japonica	Large-leaf falsenettle	gbif
Plant_Boltonia_asteroides	Boltonia asteroides	False Chamomile	gbif
Organism_32067	Bunias orientalis L.	Turkish rocket	gbif
Organism_3486	Butea frondosa	Bengal kino	ncbi
Organism_15610	Callistemon rigidus	bottlebrush	gbif
Organism_20672	Callitris intratropica	northern cypress-pine	gbif
Organism_29662	Callitris rhomboidea	Port Jackson Pine	gbif
Organism_13190	Calystegia soldanella	Sea Bindweed	gbif
Organism_52142	Canarina canariensis	Canary Bellflower	gbif
Organism_30198	Carallia brachiata	Carallia	gbif
Organism_53334	Castanea vesca	Castanea vesca Gaertn. (1788)	wikidata
Organism_10797	Ceratostigma willmottianum	Chinese plumbago	gbif
Organism_20796	Chiococca alba	Snowberry	gbif
Organism_51340	Cladanthus mixtus	Moroccan chamomile	gbif
Organism_13698	Codonopsis clematidea	bonnet-bellflower	gbif
Organism_55503	Colubrina elliptica	Soldierwood	gbif
Plant_Commiphora_gileadensis	Commiphora gileadensis	Balsam of Mecca	gbif
Organism_46430	Corchorus capsularis	Jute	gbif
Organism_18591	Corymbia scabrida	Rough-leaved Yellowjacket	gbif
Organism_52311	Corynandra viscosa	Asian spiderflower	ncbi
Organism_52409	Coryphantha elephantidens	Elephant's Tooth	gbif
Organism_48310	Croton laevigatus	purging croton	gbif
Organism_7993	Cyperus scariosus	cypriol	gbif
Organism_17230	Dalbergia latifolia	Bombay Blackwood	gbif
Organism_22191	Dalea scandens var.paucifolia	low prairie clover	gbif
Organism_4637	Delphinium formosum	hardy larkspur	gbif
Organism_16859	Dryopteris fragrans	fragrant wood fern	gbif
Organism_4315	Echinops echinatus	Indian globe thistle	gbif
Plant_Eddoe	Eddoe	eddo	wikidata
Organism_54110	Elaeodendron croceum	Common Saffronwood	gbif
Organism_1470	Ephedra alata	White Shrubby Horsetail	gbif
Organism_10879	Epipactis palustris	Marsh Helleborine	gbif
Organism_7847	Erysimum rhaeticum	Swiss treacle-mustard	gbif
Plant_Etlingera_cevuga	Etlingera cevuga	Waxflower	gbif
Organism_28868	Eucalyptus cinerea	Argyle Apple	gbif
Organism_7735	Eupatorium japonicum	Fragrant eupatorium	gbif
Organism_17842	Euphorbia portlandica	Portland Spurge	gbif
Organism_15737	Fitchia speciosa	Rarotonga Fitchia	gbif
Organism_52427	Frullania nisquallensis	Hanging Millipede Liverwort	gbif
Organism_26803	Galeopsis pubescens	downy hemp-nettle	gbif
Organism_14750	Gaylussacia frondosa	Blue Huckleberry	gbif
Organism_5639	Gentiana asclepiadea	Willow Gentian	gbif
Plant_Gentianopsis_barbellata	Gentianopsis barbellata	Perennial Fringed-Gentian	gbif
Plant_Gentianopsis_detonsa	Gentianopsis detonsa	sheared fringed-gentian	gbif
Plant_Gentianopsis_simplex	Gentianopsis simplex	Hiker's Gentian	gbif
Plant_Gentianopsis_thermalis	Gentianopsis thermalis	Rocky Mountain fringed-gentian	gbif
Plant_Geranium	Geranium	Crane's-bills	wikidata
Plant_Gladiolus_italicus	Gladiolus italicus	Field Gladiolus	gbif
Organism_48164	Helleborus orientalis	Lenten-rose	gbif
Organism_5195	Helminthotheca echioides (L.) Holub	bristly oxtongue	gbif
Plant_Herbertus_dicranus	Herbertus dicranus	Pacific Scissor-leaved Liverwort	gbif
Plant_Hibiscus	Hibiscus	rosemallows	ncbi
Plant_Hippocratea_volubilis	Hippocratea volubilis	Medicine Vine	gbif
Organism_55615	Hymenocallis rotata	spring-run spider-lily	gbif
Organism_2785	Hypnum cupressiforme	Cypress-leaved Plait-moss	gbif
Organism_11230	Ilex aquifolium	English holly	gbif
Plant_Indian_beech_tree	Indian beech tree	Indian beech tree	ncbi
Organism_22823	Indigofera spicata	Creeping indigo	gbif
Plant_Juniperus_monticola	Juniperus monticola	Mexican Juniper	gbif
Plant_Juniperus_taxifolia	Juniperus taxifolia	Luchu Juniper	gbif
Organism_14370	Kalanchoe daigremontiana	Mother-of-Millions	gbif
Organism_18012	Kleinhovia hospita	Guest Tree	gbif
Organism_15862	Lactuca perennis L.	Blue lettuce	gbif
Organism_48699	Lamprocapnos spectabilis	Asian Bleeding-heart	gbif
Organism_17443	Lemna trisulca	Ivy-leaved Duckweed	gbif
Organism_19604	Liatris tenuifolia	Shortleaf gayfeather	gbif
Organism_45946	Linum corymbulosum	Clustered Flax	gbif
Organism_20321	Magnolia biloba	Houpu Magnolia	wikidata
Organism_23886	Marshallia obovata	Piedmont Barbara's-buttons	gbif
Organism_4574	Micranthemum umbrosum	Dwarf Helzine	gbif
Organism_53190	Mimusops caffra	coastal red milkwood	gbif
Organism_13772	Momordica balsamina	African Cucumber	gbif
Organism_18745	Myrianthus arboreus	Giant Yellow Mulberry	gbif
Organism_18648	Nothapodytes nimmoniana	nothapodytes	gbif
Organism_17252	Onobrychis kachetica	Kakhetian Sainfoin	gbif
Organism_1015	Ormocarpum kirkii	Caterpillarpod	gbif
Organism_18403	Parthenium ligulatum	Colorado feverfew	gbif
Organism_8842	Passiflora sexflora	goatsfoot	gbif
Organism_17294	Patrinia scabiosaefolia	eastern valerian	gbif
Organism_6411	Pericampylus glaucus	Native Grapes	gbif
Organism_12927	Phalaris arundinacea	Reed Canary-grass	gbif
Organism_15392	Phlegmariurus fordii	Huperzia fordii	wikidata
Organism_47707	Photinia glabra	Japanese photinia	gbif
Organism_54983	Phyla dulcis	Aztec sweetherb	gbif
Plant_Picradeniopsis_multiflora	Picradeniopsis multiflora	Many-flowered Bahia	gbif
Organism_16898	Pinus aristata	Colorado Bristlecone Pine	gbif
Organism_20134	Pinus leiophylla	Smooth-leaved Pine	gbif
Plant_Piptocoma_antillana	Piptocoma antillana	Antilles velvetshrub	gbif
Organism_15408	Pittocaulon praecox	Broomstick Tree	gbif
Organism_6237	Pityrogramma chrysophylla	Island Goldback Fern, Golden fern	gbif
Organism_7172	Plantago hookeriana	California plantain	gbif
Organism_23144	Plectranthus ernstii	Bonsai Mint	gbif
Organism_4860	Polygonum lapathifolium	curlytop knotweed	wikidata
Organism_54056	Prinsepia utilis	Himalayan wild cherry	wikidata
Organism_14827	Pteris vittata	Chinese Brake	gbif
Organism_25092	Ranunculus fluitans	River Water-crowfoot	gbif
Organism_4032	Rhizophora stylosa	Indo-West Pacific stilt mangrove	gbif
Organism_11723	Salsola somalensis	Halothamnus somalensis	wikidata
Organism_11558	Salvia bucharica	Bukharan Sage	gbif
Organism_45480	Salvia clevelandii	Cleveland Sage	gbif
Organism_49563	Scalesia baurii	Pinta Sunflower-tree	gbif
Plant_Scrophularia_kakudensis	Scrophularia kakudensis	Mountain figwort	gbif
Plant_Senegalia_galpinii	Senegalia galpinii	Monkey-thorn	gbif
Organism_54558	Solanum chenopodioides	Tall Nightshade	gbif
Organism_18629	Solanum pseudocapsicum	Jerusalem-cherry	gbif
Plant_Solidago_rugosa	Solidago rugosa	Common Wrinkle-leaved Goldenrod	gbif
Organism_7611	Stevia ovata	roundleaf candyleaf	gbif
Organism_1104	Strychnos cocculoides	Bitter Bush Orange	gbif
Organism_52410	Swainsona salsula	alkali swainsonpea	ncbi
Organism_46708	Terminalia citrina	black chuglam	gbif
Organism_6896	Thamnosma montana	Mohave desertrue	gbif
Organism_44354	Thunbergia laurifolia	Blue Trumpet Vine	gbif
Organism_1018	Thymelaea hirsuta	Mitnan	gbif
Plant_Thymus_pulegioides	Thymus pulegioides	lemon thyme	gbif
Plant_Thymus_riatarum	Thymus riatarum	'Moroccan' Thyme	duke
Organism_10640	Trachyspermum ammi	Ajowan	gbif
Organism_1887	Umbelliferae	carrot family	ncbi
Organism_54088	Ursinia cakilefolia	Sandveld Paraseed	gbif
Organism_52145	Vitex divaricata	Higuerillo	gbif
Organism_8350	Xanthocercis zambesiaca	Mashatu Tree	gbif
Organism_13223	Zanthoxylum brachyacanthum	Thorny Yellow-wood	gbif
Organism_8720	Abrus fruticulosus	Canton Abrus	gbif
Organism_50101	Acacia pruinosa	frosty wattle	gbif
Organism_8792	Aconitum ferox	Indian aconite	gbif
Organism_10443	Actaea asiatica	Asian baneberry	gbif
Organism_29570	Adenostemma lavenia	Common adenostemma	gbif
Organism_968	Aloe dawei	Orange Flame Aloe	gbif
Organism_4238	Aloe marlothii	Mountain Aloe	gbif
Organism_19356	Aloysia gratissima	Common Bee Brush	gbif
Plant_Alstroemeria	Alstroemeria	Peruvian lily	wikidata
Organism_26471	Amomum tsao-ko	cao guo	ncbi
Organism_51272	Amyris madrensis	Mountain Torchwood	gbif
Organism_23793	Anadenanthera colubrina	Curupay	gbif
Plant_Anderson_s_larkspur	Anderson's larkspur	Anderson's larkspur	wikidata
Organism_4253	Anigozanthos preissii	Albany Catspaw	gbif
Organism_1674	Anthemis pseudocotula	False Stinking Chamomile	gbif
Organism_26141	Apalochlamys spectabilis	Showy Cassinia	gbif
Plant_Aristolochia_trilobata	Aristolochia trilobata	Dutchman's Pipe	gbif
Organism_10311	Artemisia indica	Indian wormwood	gbif
Plant_Artocarpus_Incisa	Artocarpus Incisa	breadfruit	wikidata
Organism_12265	Asplenium antiquum	Bird’s-nest fern	gbif
Organism_8657	Baptisia cinerea	grayhairy wild indigo	gbif
Organism_30112	Barringtonia asiatica	Asian barringtonia	gbif
Organism_7627	Berberis darwinii	Darwin's Barberry	gbif
Organism_21516	Blepharostoma trichophyllum	Hairy Threadwort	gbif
Organism_29917	Boronia inornata	desert boronia	gbif
Organism_2334	Brosimum rubescens	Bloodwood	gbif
Plant_Buddleja_asiatica	Buddleja asiatica	Asiatic butterfly-bush	gbif
Organism_22507	Buxus wallichiana	Himalayan Boxwood	wikidata
Organism_19219	Chrysobalanus icaco	Coco Plant	gbif
Organism_4483	Chrysothamnus nauseosus	rubber rabbitbrush	ncbi
Organism_46643	Clematis angustifolia	fragrant clematis	wikidata
Plant_Cleonia_lusitanica	Cleonia lusitanica	Cleonia	gbif
Organism_1344	Clivia miniata	bush lily	wikidata
Organism_25897	Cneoridium dumosum	bush rue	wikidata
Organism_10992	Combretum apiculatum	red bushwillow	gbif
Organism_22142	Coreopsis nuecensis	Crown Tickseed	gbif
Organism_14298	Coreopsis tinctoria	Garden Tickseed	gbif
Organism_45475	Corydalis scouleri	Scouler's corydalis	gbif
Plant_Cota_palaestina	Cota palaestina	Palestinian Chamomile	gbif
Organism_55032	Croton nitens	wild cinnamon	gbif
Organism_4285	Cymbopogon nardus	Ceylon citronella	gbif
Organism_14936	Dalbergia spruceana	Amazon Rosewood	gbif
Organism_17346	Davallia solida	giant hare's foot fern	gbif
Organism_15717	Desmodium sandwicense	Hawai'I Ticktrefoil	gbif
Organism_49121	Dimorphocarpa wislizeni	Spectacle Pod	gbif
Organism_46617	Dioscorea pentaphylla	Fiveleaf Yam	gbif
Organism_51558	Dryopteris aitoniana	Madeira Buckler-fern	gbif
Plant_Dysoxylum_parasiticum	Dysoxylum parasiticum	Yellow Mahogany	gbif
Organism_45704	Eleusine indica	Dutch Grass	gbif
Organism_2174	Ervatamia divaricata	crepe jasmine	ncbi
Organism_31783	Erysimum cheiri (L.) Crantz	Aegean wallflower	gbif
Organism_9458	Erythroxylum novogranatense (Morris) Hieron var.novogranatense	Colombian coca	gbif
Organism_52231	Erythroxylum rotundifolium	Rat Wood	gbif
Organism_29998	Eucryphia	ulmo	wikidata
Organism_5756	Eugenia jambolana	jaman	ncbi
Organism_51035	Euphorbia drupifera	dodo	gbif
Organism_56857	Euphorbia piscatoria	Fish-stunning Spurge	gbif
Organism_50848	Euphrasia stricta	Short-haired Eyebright	gbif
Organism_43792	Fagopyrum dibotrys	Tall Buckwheat	gbif
Organism_4509	Fumaria agraria	Field Fumitory	gbif
Organism_16247	Geigeria aspera	Rough Vomitbush	gbif
Organism_23542	Geigeria plumosa	Fluffy Vomitdaisy	gbif
Organism_2931	Gelsemium rankinii	Rankin's trumpetflower	gbif
Organism_12606	Glycine tabacina	Glycine Pea	gbif
Organism_44040	Gomphrena macrocephala	Xeraea macrocephala	wikidata
Organism_20248	Gutierrezia texana	Texas snakeweed	gbif
Organism_19186	Hackelia floribunda	Large-flowered Stickseed	gbif
Organism_28044	Halimeda tuna	Stalked Lettuce Leaf Algae	gbif
Organism_9637	Helianthus heterophyllus	Variableleaf Sunflower	gbif
Plant_Heptapleurum_arboricola	Heptapleurum arboricola	Hawaiian-elf	gbif
Organism_23032	Heritiera littoralis	beach tulip-oak	gbif
Plant_Hesperocyparis_Macrocarpa	Hesperocyparis Macrocarpa	Monterey cypress	wikidata
Organism_6993	Hymenoxys scaposa	stemmy hymenoxys	gbif
Organism_24432	Hypericum beanii	St. Johnswort	gbif
Organism_3396	Hypericum oblongifolium	Pendant St. John's wort	wikidata
Plant_Illicium_simonsii	Illicium simonsii	Anise Tree	gbif
Plant_Indigofera_pilosa	Indigofera pilosa	Softhairy Indigo	gbif
Organism_54	Ipomoea purga	Veracruz jalap	gbif
Plant_Juniperus_jaliscana	Juniperus jaliscana	jalisco juniper	gbif
Organism_45598	Knema attenuata	Tapering nutmeg	gbif
Organism_1755	Launaea nudicaulis	naked launaea	gbif
Organism_21620	Laurelia sempervirens	Chilean Laurel	gbif
Organism_11722	Lindera erythrocarpa	Red-fruit Spicebush	gbif
Organism_7870	Lobularia maritima	Sweet Alison	gbif
Organism_49993	Lonchocarpus heptaphyllus	Broadleaf Lancepod	gbif
Organism_18131	Lophocereus schottii	Old Man Cactus	gbif
Organism_55951	Lupinus kingii	King's Lupine	gbif
Organism_5403	Macaranga triloba	Common mahang	gbif
Plant_Melampodium_divaricatum	Melampodium divaricatum	Gold Medallion	gbif
Plant_Microphilis_guyanensis	Microphilis guyanensis	Wild Balata	gbif
Organism_14840	Mikania cordata	Assamlata	gbif
Organism_56438	Musineon divaricatum	leafy wild-parsley	gbif
Organism_15171	Myrica cerifera L.	Southern Bayberry	gbif
Organism_24003	Neonotonia wightii	Perennial Soybean	gbif
Organism_7431	Nicotiana excelsior	giant tobacco	gbif
Plant_Nierembergia_linariifolia	Nierembergia linariifolia	Dwarf cupflower	gbif
Plant_Nuphar_japonica	Nuphar japonica	East Asian yellow water-lily	gbif
Plant_Orbea_variegata	Orbea variegata	Carrion-Flower	gbif
Organism_49050	Paubrasilia echinata	Pernambuco wood	gbif
Organism_31615	Pedicularis palustris L.	Marsh Lousewort	gbif
Organism_20744	Phacelia ixodes	Costa Baja phacelia	gbif
Organism_15203	Pinus morrisonicola	Taiwan White Pine	gbif
Plant_Piper_swartzianum	Piper swartzianum	Spanish elder	gbif
Plant_Plumeria	Plumeria	plumeria	wikidata
Organism_7910	Prosopis nigra	algarrobo negro	gbif
Plant_Prunus_grayana	Prunus grayana	Gray's Bird Cherry	gbif
Organism_49779	Pseudoscleropodium purum	Neat Feather-moss	gbif
Organism_16940	Pulsatilla koreana	Korean pasque-flower	gbif
Organism_19238	Quercus agrifolia	Coast Live Oak	gbif
Organism_23417	Retama monosperma	Bridal broom	gbif
Organism_5644	Rhus typhina	Stag's-horn Sumach	gbif
Organism_47506	Rubus alceifolius	Giant bramble, Asian bramble	gbif
Organism_1224	Ruellia patula	White Veld Violet	gbif
Organism_56096	Rugelia nudicaulis	Rugel's Indianplantain	gbif
Plant_Sagittaria_trifolia	Sagittaria trifolia	Chinese arrowhead	gbif
Organism_49298	Salvia aspera	Grasshopper Sage	gbif
Organism_51746	Sapindus trifoliatus	South Indian Soapnut	gbif
Organism_14938	Schizanthus pinnatus	Poor-man's-orchid	gbif
Organism_18226	Sedum sexangulare	Hexagon Stonecrop	gbif
Organism_13714	Semecarpus anacardium	Oriental cashew	gbif
Organism_1482	Senna italica	Eland's Pea	gbif
Organism_966	Sida spinosa	Prickly Mallow	gbif
Plant_Sideritis_montana	Sideritis montana	Mountain Ironwort	gbif
Organism_7790	Solanum demissum	Wild Potato	gbif
Organism_51713	Solanum pimpinellifolium	Currant Tomato	gbif
Organism_52341	Sorbus domestica	Service-tree	gbif
Plant_Stangeria_eriopus	Stangeria eriopus	Natal Grass Cycad	gbif
Organism_8252	Striga asiatica	Asiatic Witchweed	gbif
Organism_14904	Strychnos ignatii	Ignatius-bean	gbif
Organism_52839	Strychnos pungens	Green Monkey Orange	gbif
Organism_20194	Symphytum asperum	Rough Comfrey	gbif
Organism_12225	Symplocos racemosa	lodhtree	gbif
