# per-organism common-name source; precedence gbif/ncbi > wikidata > duke
organism_id	scientific_name	common_name	source
Organism_16533	Artemisia princeps	Japanese mugwort	gbif
Organism_14356	Ephedra sinica	Chinese Ephedra	gbif
Organism_249	Lycium chinense	Chinese Teaplant	gbif
Organism_3012	Glycine max	Soya-bean	gbif
Organism_4691	Bupleurum chinense	Chinese thoroughwax	gbif
Organism_2832	Rauvolfia vomitoria	African serpentwood	gbif
Organism_2867	Xylocarpus granatum	Dhundal tree	gbif
Organism_171	Carica papaya	Papaya	gbif
Organism_25532	Cinnamomum aromaticum	Chinese cinnamon	gbif
Organism_32068	Pastinaca sativa L.	Wild Parsnip	gbif
Plant_soybean	soybean	soybean	ncbi
Organism_1177	Cyperus rotundus	Nutgrass	gbif
Organism_1588	Spinacia oleracea	Spinach	gbif
Organism_4156	Glycyrrhiza inflata	Chinese licorice	gbif
Organism_1816	Papaver somniferum	Opium Poppy	gbif
Organism_44095	Mentha canadensis	American Cornmint	gbif
Organism_2012	Taxus baccata	Common Yew	gbif
Organism_11073	Hypericum japonicum	Tiny St. Johnswort	gbif
Organism_4643	Scutellaria barbata	Barbed skullcap	gbif
Organism_1063	Trigonella foenum-graecum	Fenugreek	gbif
Organism_5192	Cichorium intybus	Chicory	gbif
Organism_5347	Glehnia littoralis	American silvertop	gbif
Organism_13562	Premna odorata	Fragrant premna	gbif
Organism_19658	Dendrobium loddigesii	Loddiges' Dendrobium	wikidata
Organism_5354	Ligusticum sinense	Sichuan lovage	gbif
Organism_19890	Portulaca oleracea	Common Purslane	gbif
Organism_8565	Dumortiera hirsuta	Dumortier's Liverwort	gbif
Organism_2477	Scutellaria baicalensis	Baikal skullcap	gbif
Organism_12198	Artemisia montana	Montane wormwood	gbif
Organism_2332	Picea abies	Norway Spruce	gbif
Organism_1072	Aloe ferox	Cape Aloe	gbif
Organism_6671	Juniperus rigida	Needle Juniper	gbif
Organism_29838	Eucalyptus melliodora	Yellow Box	gbif
Organism_11391	Senna siamea	Pheasantwood	gbif
Organism_3898	Achillea millefolium	Yarrow	gbif
Organism_17812	Mentha arvensis	Corn Mint	gbif
Organism_3949	Hordeum vulgare	Six-rowed Barley	gbif
Organism_7637	Myristica fragrans	Nutmeg	gbif
Organism_6116	Ligusticum chuanxiong	chuang-xiong	ncbi
Organism_10628	Mosla chinensis	East Asian Dwarf Mosla	gbif
Organism_7946	Pinus sylvestris L.	Scots Pine	gbif
Organism_16828	Brassica napus L.ssp.rapifera	oilseed rape	ncbi
Organism_20593	Centella asiatica	Centella	gbif
Organism_8816	Elsholtzia ciliata	Crested Elsholtzia	gbif
Organism_44326	Hansenia weberbaueriana	notopterygium	gbif
Organism_46006	Morella rubra	Chinese Bayberry	gbif
Organism_2746	Garcinia dulcis	Claudie mangosteen	gbif
Plant_Alstonia_spathulata	Alstonia spathulata	Hard Milkwood	gbif
Organism_6766	Prunus armeniaca	Apricot	gbif
Organism_5393	Codonopsis pilosula	Pilose bellflower	gbif
Organism_16284	Senna alexandrina	Alexandrian senna	gbif
Organism_32182	Abies pinsapo Boiss.	Spanish Fir	gbif
Organism_16224	Xanthium strumarium	Rough Cocklebur	gbif
Organism_8086	Allium ampeloprasum	Great-headed Garlic	gbif
Organism_3414	Phellodendron amurense	Amur cork-tree	gbif
Organism_3952	Rhodiola rosea	roseroot	gbif
Organism_5865	Bupleurum scorzonerifolium	Red Thorowax	gbif
Organism_842	Buxus sempervirens	Box	gbif
Organism_43827	Vaccinium oxycoccos	Cranberry	gbif
Organism_4027	Lupinus albus	White Lupin	gbif
Organism_5743	Lythrum salicaria	Purple Loosestrife	gbif
Organism_5069	Elettaria cardamomum	Cardamom	gbif
Organism_876	Euphorbia helioscopia	Sun Spurge	gbif
Organism_18163	Akebia quinata	Five-leaf Akebia	gbif
