chem_id,inchikey,mw,exact_mw,logp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,ring_count,fraction_csp3,heavy_atoms,heteroatoms,formal_charge,qed,ro5_violations
Chemical_6767734114773030171,QFAOFAWTSOFSQA-AWZDPXLZSA-N,528.554,528.1995,0.51,156.66,3,10,0,0,7,0.7143,38,10,0,0.299,1
Chemical_7353179615239316218,JBKZSVYMGSDYJL-SXTLKRSQSA-N,700.782,700.3207,2.091,198.92,6,14,7,2,6,0.6111,50,14,0,0.1959,3
Chemical_4534228471209343637,Hexamethoxyflavone,402.399,402.1315,3.512,85.59,0,8,7,3,3,0.2857,29,8,0,0.5935,0
Chemical_3380429184901866583,MVSHREZIIDDWGS-RNFJLKLCSA-N,340.375,340.1311,4.239,90.9,3,5,0,2,5,0.45,25,5,0,0.6241,0
Chemical_2901493456195042976,KBQKZBYGDQCBTJ-NPVOAUDJSA-N,434.529,434.2305,3.581,99.13,1,7,4,0,1,0.5417,31,7,0,0.5332,0
Chemical_3371450547612375745,VIOBLZMEZRNYRR-UHFFFAOYSA-N,458.551,458.2305,3.107,114.04,2,7,3,1,5,0.7308,33,7,0,0.5283,0
Chemical_1274012223630219917,PIEMWXYQJOKFCW-IULGZIFLSA-N,426.465,426.1679,4.393,92.04,0,7,4,2,3,0.375,31,7,0,0.4066,0
Chemical_8865909457803247776,Puberulin C,386.444,386.1729,3.358,82.06,1,6,6,1,3,0.4545,28,6,0,0.5964,0
Chemical_3690685208505285074,KLQXMRBGMLHBBQ-RMKNXTFCSA-N,784.761,784.279,-1.947,282.21,9,19,14,2,5,0.5833,55,19,0,0.0744,3
Chemical_3686885065828936680,Radicamine A,255.27,255.1107,-0.872,102.18,5,6,3,1,2,0.5,18,6,0,0.4809,0
Chemical_8744816792862755085,ZPAQRVPCPJNTSC-YZVVQLETSA-N,493.556,493.2101,2.92,97.69,2,8,5,2,6,0.4643,36,8,0,0.4849,0
Chemical_5343196039360601606,MGTDZPRNONHJLG-KKPDNXTPSA-N,322.489,322.2508,3.112,60.69,3,3,0,0,4,1.0,23,3,0,0.642,0
Chemical_2568570734205383237,LNBRCKHAVQLAHF-UHFFFAOYSA-N,270.328,270.1256,3.355,54.37,1,3,0,1,3,0.4118,20,3,0,0.7354,0
Chemical_3127239820073889763,A-443654,397.482,397.1903,4.363,92.61,3,4,6,5,5,0.1667,30,6,0,0.3968,0
Chemical_3930471781564741546,YCWJRVPTFUUJIS-NPFVIJTESA-N,418.442,418.1628,2.339,114.68,3,8,7,2,3,0.4091,30,8,0,0.5873,0
Chemical_1537012098101550487,RGTONEMDTVVDMY-CVJRUUBTSA-N,390.341,390.1162,-1.979,183.21,6,9,7,0,2,0.625,27,11,0,0.2648,1
Chemical_6655517454378187351,WXALYZVJGPQUET-UHFFFAOYSA-N,250.206,250.0477,1.367,115.06,4,6,1,1,2,0.1667,18,6,0,0.5593,0
Chemical_7504420853938872641,ZRMWSCPMGTWKPO-KYJUHHDHSA-N,608.735,608.2886,6.859,72.86,1,8,3,4,8,0.3514,45,8,0,0.2706,2
Chemical_712477415938000491,PGOYMURMZNDHNS-YGUUOLNVSA-N,472.71,472.3553,6.206,77.76,3,3,2,0,5,0.9,34,4,0,0.4178,1
Chemical_2285054330330014558,Isobergaptene,216.192,216.0423,2.548,52.58,0,4,1,3,3,0.0833,16,4,0,0.5864,0
Chemical_3525779753262006287,YMCXDRDWSJHHGE-NPLAKZGISA-N,933.187,932.5821,2.543,232.68,5,18,11,0,4,0.9362,65,18,0,0.1875,2
Chemical_7230119483048766864,OHOBPOYHROOXEI-XALNJUCZSA-N,594.522,594.1585,-1.393,249.2,9,15,6,3,5,0.4444,42,15,0,0.1593,3
Chemical_5030887646429372751,Robinin,740.664,740.2164,-2.892,308.12,11,19,8,3,6,0.5455,52,19,0,0.1104,3
Chemical_3073599444866528781,WMSOAFSOTCAHGJ-NIPXIZPYSA-N,622.573,622.2109,-4.636,263.75,9,17,10,1,4,0.7308,43,17,0,0.1111,3
Chemical_6097946808790247566,QWEBGLOUXCMOMA-IOKDQKTJSA-N,474.638,474.2981,4.937,89.9,1,6,7,0,3,0.75,34,6,0,0.3194,0
Chemical_2353250323726271720,SAMCEJAKBUEDLX-GFOHCRABSA-N,444.744,444.3967,7.22,40.46,2,2,0,0,5,1.0,32,2,0,0.4139,1
Chemical_2244295479917169991,nan,182.307,182.1671,3.882,17.07,0,1,8,0,0,0.75,13,1,0,0.3161,0
Chemical_2393841271109872525,nan,308.352,308.093,1.435,117.97,2,5,8,0,1,0.8333,20,8,0,0.6511,0
Chemical_8255382212143673618,KNCLQQIOJPEOIX-NHIWDXHTSA-N,338.488,338.2457,2.084,80.92,4,4,1,0,4,1.0,24,4,0,0.5901,0
Chemical_5708779728087784248,XBWFYFHSIFEXMY-UHFFFAOYSA-N,236.226,236.0473,2.274,51.21,0,3,1,2,3,0.0,18,3,0,0.6089,0
Chemical_4967301024493076683,Oxyphyllanene C,234.295,234.1256,2.192,46.67,0,3,1,0,3,0.7143,17,3,0,0.6533,0
Chemical_3584077818530790707,"2,5-Imino-2,5,6-Trideoxy-D-Manno-Heptitol",177.2,177.1001,-2.577,92.95,5,5,3,0,1,1.0,12,5,0,0.3264,0
Chemical_5249539868315046917,JCZHLPJUVBJZKU-QGIBAYKLSA-N,452.544,452.241,1.535,122.52,3,8,3,0,6,0.9167,32,8,0,0.5513,0
Chemical_4559573658522500456,Scutehenanine C,575.658,575.2519,4.441,121.25,1,9,4,2,6,0.5152,42,9,0,0.3204,1
Chemical_1255331791807611499,Mudanpioside D,510.492,510.1737,-1.349,173.6,5,12,7,1,8,0.7083,36,12,0,0.2735,2
Chemical_1962605761106030153,ONCYQXIOISDYLX-KJLKIAKKSA-N,554.68,554.288,3.8,119.36,2,8,5,0,6,0.7188,40,8,0,0.228,1
Chemical_4142361189306796794,GNUBOQVVIAMPSG-UHFFFAOYSA-N,270.284,270.0892,2.764,58.92,2,4,1,2,4,0.25,20,4,0,0.8362,0
Chemical_2054615151435847514,Agladupol D,504.752,504.3815,5.462,79.15,3,5,4,0,5,0.9355,36,5,0,0.4431,2
Chemical_4303810563567376875,HYXOJJOSLJPVJG-BYPYZUCNSA-N,238.195,238.0477,0.963,111.13,4,6,1,2,2,0.1818,17,6,0,0.4347,0
Chemical_6188838728494905327,20(29)-Ene-30-Norhederagenin-3-O-Beta-D-Glucuronopyranosyl-28-O-Beta-D-Glucopyranoside,794.932,794.4089,0.911,253.13,9,14,7,0,7,0.8537,56,15,0,0.0987,3
Chemical_9010146917867622426,Brevipolide I,400.427,400.1522,2.078,99.13,1,7,8,1,3,0.4091,29,7,0,0.5268,0
Chemical_8603475840296333328,WZGCQIYOKDLWMF-MNDTZMJDSA-N,483.602,483.2832,-0.758,121.08,4,9,6,0,6,1.0,34,9,0,0.3864,0
Chemical_5125978183248919432,XSOSLVVAKBKYRV-UHFFFAOYSA-N,110.156,110.0732,1.542,17.07,0,1,0,0,1,0.5714,8,1,0,0.462,0
Chemical_8323286722158681194,UTUUGJHVOHOOKS-VMBATOMMSA-N,887.026,886.4562,-1.301,287.14,11,18,11,0,8,0.9091,62,18,0,0.1076,3
Chemical_1823916060860251063,ZCJAIHSCFUFLJV-KZGNYCDPSA-O,873.746,873.2084,-0.141,349.65,11,20,14,4,6,0.35,62,22,1,0.0258,3
Chemical_1356319131908793435,7R-Hydroxy-14-Deoxyandrographolide,350.455,350.2093,1.963,86.99,3,5,4,0,3,0.75,25,5,0,0.5329,0
Chemical_6875465248134079400,CGZKBVGEFWABQI-INYLATNWSA-N,492.433,492.1268,0.067,188.51,6,12,6,3,4,0.3478,35,12,0,0.272,2
