# sources (priority): gbif,ncbi
# gbif: https://api.gbif.org/v1 (species/match + vernacularNames); langs=eng
# ncbi: NCBI Taxonomy taxdump (https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdmp.zip)
# retrieved: 2026-08-18
organism_id	scientific_name	chosen_source	display_common_name	gbif_accepted_name	gbif_usageKey	gbif_rank	gbif_matchType	ncbi_taxid	all_common_names
Organism_524	Nicotiana tabacum	gbif	Tobacco	Nicotiana tabacum L.	2928774	SPECIES	EXACT	4097	gbif:eng:Cultivated tobacco; gbif:eng:Cultivated tobacco; gbif:eng:Tabacco; gbif:eng:Tobacco; gbif:eng:Tobacco; gbif:eng:Tobacco; gbif:eng:Virginia tobacco; gbif:eng:cultivated tobacco; gbif:eng:cultivated tobacco; gbif:eng:tobacco; gbif:eng:Tobacco; gbif:eng:Tobacco; gbif:eng:cultivated tobacco; gbif:eng:Virginia tobacco; gbif:eng:tobacco; ncbi:-:American tobacco; ncbi:-:common tobacco; ncbi:-:tobacco
Organism_2976	Humulus lupulus	gbif	Hop	Humulus lupulus L.	2984535	SPECIES	EXACT	3486	gbif:eng:Bine; gbif:eng:Bine; gbif:eng:Common Hop; gbif:eng:Common Hop; gbif:eng:Common Hop, Hops; gbif:eng:Common Hop, Hops; gbif:eng:Common Hops; gbif:eng:Common Hops; gbif:eng:Common hop, Hops; gbif:eng:Hop; gbif:eng:Hop; gbif:eng:Hop; gbif:eng:Hops; gbif:eng:Hops; gbif:eng:bine; gbif:eng:bine; gbif:eng:common hop; gbif:eng:common hop; gbif:eng:common hops; gbif:eng:hop; gbif:eng:hop; gbif:eng:hop; gbif:eng:hop; gbif:eng:hops; gbif:eng:hops; gbif:eng:hops; gbif:eng:Hop; gbif:eng:hop; ncbi:-:common hop; ncbi:-:European hop
Organism_2889	Morus alba	gbif	White Mulberry	Morus alba L.	5361889	SPECIES	EXACT	3498	gbif:eng:Asian Mulberry; gbif:eng:Common Mulberry; gbif:eng:Mulberry; gbif:eng:Russian Mulberry; gbif:eng:Russian mulberry; gbif:eng:Russian mulberry; gbif:eng:Silkworm Mulberry; gbif:eng:Tartarian Mulberry; gbif:eng:White Mulberry; gbif:eng:White Mulberry; gbif:eng:White mulberry; gbif:eng:White mulberry; gbif:eng:White mulberry; gbif:eng:mulberry; gbif:eng:silkworm mulberry; gbif:eng:silkworm mulberry; gbif:eng:white mulberry; gbif:eng:white mulberry; gbif:eng:white mulberry; gbif:eng:white-mulberry; gbif:eng:white-mulberry; gbif:eng:White Mulberry; gbif:eng:white mulberry; gbif:eng:Russian mulberry; gbif:eng:silkworm mulberry; ncbi:-:white mulberry
Organism_2361	Daucus carota	gbif	Queen Anne's lace	Daucus carota L.	3034742	SPECIES	EXACT	4039	gbif:eng:Carrot; gbif:eng:Carrot; gbif:eng:Carrot; gbif:eng:Queen Anne's Lace; gbif:eng:Queen Anne's Lace; gbif:eng:Queen Anne's Lace; gbif:eng:Queen Anne's lace; gbif:eng:Queen Anne's lace; gbif:eng:Queen Anne's lace; gbif:eng:Queen anne's lace; gbif:eng:Wild Carrot; gbif:eng:Wild Carrot; gbif:eng:Wild carrot; gbif:eng:bishop's lace; gbif:eng:carrot; gbif:eng:wild carrot; gbif:eng:wild carrot; gbif:eng:Queen Anne's lace; gbif:eng:Wild Carrot; gbif:eng:Wild Carrot; gbif:eng:Carrot; gbif:eng:Carrot; gbif:eng:queen Anne's lace; gbif:eng:wild carrot; gbif:eng:wild carrot; ncbi:-:carrot; ncbi:-:carrots; ncbi:-:Queen Anne's lace
Organism_2984	Phaseolus vulgaris	gbif	French Bean	Phaseolus vulgaris L.	5350452	SPECIES	EXACT	3885	gbif:eng:Bean; gbif:eng:Common Bean; gbif:eng:Common Bean; gbif:eng:Common Haricot; gbif:eng:Dwarf Bean; gbif:eng:Frash Bean; gbif:eng:French Bean; gbif:eng:French Bean; gbif:eng:French Bean; gbif:eng:French Bean; gbif:eng:Garden Bean; gbif:eng:Green Bean; gbif:eng:Haricot Bean; gbif:eng:Kidney Bean; gbif:eng:Kidney bean; gbif:eng:Royal burgundy bean; gbif:eng:Runner Bean; gbif:eng:String Bean; gbif:eng:bean; gbif:eng:bean; gbif:eng:bush bean; gbif:eng:common-bean; gbif:eng:common-bean; gbif:eng:cranberry bean; gbif:eng:french-bean; gbif:eng:french-bean; gbif:eng:garden bean; gbif:eng:green bean; gbif:eng:kidney bean; gbif:eng:kidney bean; gbif:eng:kidney-bean; gbif:eng:kidney-bean; gbif:eng:pinto bean; gbif:eng:pole bean; gbif:eng:stick-bean; gbif:eng:string bean; gbif:eng:French Bean; gbif:eng:bean; gbif:eng:garden bean; gbif:eng:Bush Bean; gbif:eng:Pole Bean; gbif:eng:bush bean; gbif:eng:green bean; gbif:eng:kidney bean; gbif:eng:pole bean; gbif:eng:string bean; ncbi:-:common bean; ncbi:-:French bean; ncbi:-:kidney bean; ncbi:-:string bean
Organism_3796	Glycyrrhiza uralensis	gbif	Chinese Liquorice	Glycyrrhiza uralensis Fisch. ex DC.	7861283	SPECIES	EXACT	74613	gbif:eng:Chinese Liquorice; gbif:eng:Chinese licorice; gbif:eng:Chinese licorice; gbif:eng:Licorice; gbif:eng:Ural Licorice; ncbi:-:Chinese licorice; ncbi:-:Chinese liquorice
Organism_5342	Angelica sinensis	gbif	Chinese angelica	Angelica sinensis (Oliv.) Diels	6027415	SPECIES	EXACT	165353	gbif:eng:Chinese angelica; gbif:eng:Chinese angelica; ncbi:-:Chinese angelica; ncbi:-:dong gui; ncbi:-:dong quai
Organism_7381	Foeniculum vulgare L.	gbif	Fennel	Foeniculum vulgare Mill.	3034922	SPECIES	EXACT	2849586	gbif:eng:Aniseed-weed; gbif:eng:Fennel; gbif:eng:Fennel; gbif:eng:Fennel; gbif:eng:Fennel; gbif:eng:Sweet Fennel; gbif:eng:Sweet fennel; gbif:eng:Sweet fennel; gbif:eng:aniseed-weed; gbif:eng:aniseed-weed; gbif:eng:fennel; gbif:eng:fennel; gbif:eng:sweet fennel; gbif:eng:sweet fennel; gbif:eng:Fennel; gbif:eng:Venkel; gbif:eng:Venkel; gbif:eng:sweet fennel; gbif:eng:fennel; gbif:eng:fennel; ncbi:-:fennel
Organism_46258	Perilla frutescens var. arguta	none		Perilla frutescens var. arguta (Benth.) Hand.-Mazz.	7548282	VARIETY	EXACT	381201	
Organism_735	Oryza sativa	gbif	Rice	Oryza sativa L.	2703459	SPECIES	EXACT	4530	gbif:eng:Asian rice; gbif:eng:Asian rice; gbif:eng:Rice; gbif:eng:Rice; gbif:eng:Rice; gbif:eng:Rice; gbif:eng:lowland rice; gbif:eng:lowland rice; gbif:eng:rice; gbif:eng:rice; gbif:eng:upland rice; gbif:eng:upland rice; gbif:eng:Rice; ncbi:-:Asian cultivated rice; ncbi:-:red rice; ncbi:-:rice
Organism_4469	Eucalyptus globulus	gbif	Southern Blue-gum	Eucalyptus globulus Labill.	3176787	SPECIES	EXACT	34317	gbif:eng:Bluegumtree; gbif:eng:Eucalyptus Tree; gbif:eng:Southern Blue-Gum; gbif:eng:Southern Blue-gum; gbif:eng:Southern Blue-gum; gbif:eng:Tasmanian blue gum; gbif:eng:Tasmanian bluegum; gbif:eng:Tasmanian bluegum; gbif:eng:Tasmanian bluegum; gbif:eng:Victorian blue gum; gbif:eng:Victorian blue gum; gbif:eng:blue gum; gbif:eng:blue gum; gbif:eng:blue-gum; gbif:eng:blue-gum; gbif:eng:blue-gum-tree; gbif:eng:blue-gum-tree; gbif:eng:bluegum eucalyptus; gbif:eng:bluegum eucalyptus; gbif:eng:fever tree; gbif:eng:southern blue gum; gbif:eng:southern blue gum; gbif:eng:southern-blue-gum; gbif:eng:southern-blue-gum; gbif:eng:tasmanian-blue-gum; gbif:eng:tasmanian-blue-gum; gbif:eng:Southern Blue-gum; gbif:eng:Southern Blue-Gum; ncbi:-:blue gum
Organism_2684	Lonicera japonica	gbif	Japanese Honeysuckle	Lonicera japonica Thunb.	5334240	SPECIES	EXACT	105884	gbif:eng:Chinese Honeysuckle; gbif:eng:Chinese Honeysuckle; gbif:eng:Chinese honeysuckle; gbif:eng:Chinese honeysuckle; gbif:eng:Gold-and-silver-flower; gbif:eng:Gold-and-silver-flower; gbif:eng:Golden-and-silver Honeysuckle; gbif:eng:Golden-and-silver Honeysuckle; gbif:eng:Golden-and-silver honeysuckle; gbif:eng:Japanese Honeysuckle; gbif:eng:Japanese Honeysuckle; gbif:eng:Japanese Honeysuckle; gbif:eng:Japanese honeysuckle; gbif:eng:Japanese honeysuckle; gbif:eng:Japanese honeysuckle; gbif:eng:Japanese honeysuckle; gbif:eng:Japanese honeysuckle; gbif:eng:Japanese honeysuckle; gbif:eng:gold-and-silver-flower; gbif:eng:gold-and-silver-flower; gbif:eng:Japanese Honeysuckle; gbif:eng:Japanese honeysuckle; gbif:eng:Chinese honeysuckle; gbif:eng:Chinese honeysuckle; gbif:eng:Yellow Japanese Honeysuckle; gbif:eng:Yellow Japanese Honeysuckle; gbif:eng:yellow Japanese honeysuckle; ncbi:-:Japanese honeysuckle
Organism_1185	Citrullus lanatus	gbif	Water Melon	Citrullus lanatus (Thunb.) Matsum. & Nakai	2874621	SPECIES	EXACT	3654	gbif:eng:Afghan-melon; gbif:eng:Afghan-melon; gbif:eng:Afghan-melon; gbif:eng:Afghan-melon; gbif:eng:Bastard-melon; gbif:eng:Dessert Watermelon; gbif:eng:Water Melon; gbif:eng:Water Melon; gbif:eng:Water Melon; gbif:eng:Watermelon; gbif:eng:Watermelon; gbif:eng:bastard-melon; gbif:eng:bastard-melon; gbif:eng:dessert watermelon; gbif:eng:dessert watermelon; gbif:eng:watermelon; gbif:eng:watermelon; gbif:eng:watermelon; gbif:eng:watermelon; gbif:eng:Water Melon; gbif:eng:Watermelon; gbif:eng:watermelon; gbif:eng:Wild Watermelon; ncbi:-:watermelon; ncbi:-:wild melon
Plant_tomato	tomato	ncbi	tomato	Plantae	6	KINGDOM	HIGHERRANK	4081	ncbi:-:tomato
Organism_6931	Murraya paniculata	none		Murraya paniculata (L.) Jacq.	8190743	SPECIES	EXACT	43711	
Organism_3719	Melia azedarach	gbif	Chinaberry	Melia azedarach L.	5914287	SPECIES	EXACT	155640	gbif:eng:Bead Tree; gbif:eng:Berry Tree; gbif:eng:Cape Lilac; gbif:eng:Cape Syringa; gbif:eng:Cape-lilac; gbif:eng:Cape-lilac; gbif:eng:Carolina Mahogany; gbif:eng:China Tree; gbif:eng:China-Berry; gbif:eng:Chinaberry tree; gbif:eng:Chinaberry tree, Pride of India, Bead-tree, Cape lilac, Syringa berrytree, Persian lilac, Indian lilac; gbif:eng:Chinaberrytree; gbif:eng:Chinaberrytree; gbif:eng:Chinaberrytree; gbif:eng:Chinese Umbrella; gbif:eng:Chinese Umbrella Tree; gbif:eng:Indian Lilac; gbif:eng:Indian lilac; gbif:eng:Japanese Bead Tree; gbif:eng:Lilac; gbif:eng:Persian-lilac; gbif:eng:Persian-lilac; gbif:eng:Pride Of China; gbif:eng:Pride Of Persia; gbif:eng:Red Seringea; gbif:eng:Seringa; gbif:eng:Sichuan pagoda-tree; gbif:eng:Sichuan pagoda-tree; gbif:eng:South African Syringa; gbif:eng:Syrian Bead Tree; gbif:eng:Syringa; gbif:eng:Syringa berrytree; gbif:eng:Syringatree; gbif:eng:Texas Umbrella Tree; gbif:eng:Texas umbrella-tree; gbif:eng:Texas umbrella-tree; gbif:eng:Umbrella tree; gbif:eng:White Cedar; gbif:eng:chinaberry; gbif:eng:chinaberry; gbif:eng:chinaberry-tree; gbif:eng:chinaberry-tree; gbif:eng:lelah; gbif:eng:lelah; gbif:eng:paraiso; gbif:eng:paraiso; gbif:eng:pride of India; gbif:eng:syringa berrytree; gbif:eng:syringa berrytree; gbif:eng:tulip-cedar; gbif:eng:tulip-cedar; gbif:eng:umbrella-cedar; gbif:eng:umbrella-cedar; gbif:eng:umbrella-tree; gbif:eng:umbrella-tree; gbif:eng:white cedar; gbif:eng:white-cedar; gbif:eng:white-cedar; gbif:eng:Chinaberry; gbif:eng:Lilac; gbif:eng:Bead Tree; gbif:eng:Cape Lilac; gbif:eng:Carolina Mahogany; gbif:eng:China berry; gbif:eng:Persian Lilac; gbif:eng:Pride of India; gbif:eng:White Cedar; gbif:eng:pride of India; ncbi:-:chinaberry; ncbi:-:chinaberry tree; ncbi:-:lian; ncbi:-:Persian lilac
Organism_1843	Taxus wallichiana	gbif	East Himalayan Yew	Taxus wallichiana Zucc.	5284540	SPECIES	EXACT	147273	gbif:eng:East Himalayan Yew; gbif:eng:Himalayan Yew; gbif:eng:Himalayan yew; gbif:eng:Taiwan yew; gbif:eng:East Himalayan Yew; gbif:eng:Himalayan Yew; ncbi:-:Himalayan yew
Organism_5226	Angelica acutiloba	gbif	Acutelobed Angelica	Angelica acutiloba (Siebold & Zucc.) Kitag.	5537879	SPECIES	EXACT	55605	gbif:eng:Acutelobed Angelica; gbif:eng:Japanese angelica root; ncbi:-:acutelobed angelica; ncbi:-:dong-dang-gui
Organism_3854	Vitex negundo	gbif	Five Leaved Chaste	Vitex negundo L.	2925564	SPECIES	EXACT	361442	gbif:eng:Chinese Chaste Tree; gbif:eng:Chinese Chastetree; gbif:eng:Chinese chastetree; gbif:eng:Chinese chastetree; gbif:eng:Chinese chastetree; gbif:eng:Five Leaved Chaste; gbif:eng:Five-leaved chaste tree; gbif:eng:Yellow Bramble; gbif:eng:five-leaf chastetree; gbif:eng:five-leaf chastetree; gbif:eng:Five Leaved Chaste; gbif:eng:Chinese Chaste Tree; ncbi:-:Chinese chaste tree; ncbi:-:five-leaved chaste tree
Organism_4166	Salvia officinalis	gbif	Garden Sage	Salvia officinalis L.	2927004	SPECIES	EXACT	38868	gbif:eng:Common Sage; gbif:eng:Culinary Sage; gbif:eng:Golden Sage; gbif:eng:Kitchen Sage; gbif:eng:Kitchen sage; gbif:eng:Kitchen sage; gbif:eng:Sage; gbif:eng:Sage; gbif:eng:Sage; gbif:eng:garden sage; gbif:eng:kitchen sage; gbif:eng:kitchen sage; gbif:eng:sage; gbif:eng:Garden Sage; gbif:eng:Sage; gbif:eng:Sage; gbif:eng:Sage; gbif:eng:garden sage; gbif:eng:Common Sage; gbif:eng:kitchen sage; ncbi:-:garden sage
Organism_15778	Ginkgo biloba L.	gbif	Maidenhair-tree	Ginkgo biloba L.	2687885	SPECIES	EXACT	3311	gbif:eng:Common Ginkgo; gbif:eng:Ginkgo; gbif:eng:Maidenhair Tree; gbif:eng:Maidenhair tree; gbif:eng:Maidenhair tree; gbif:eng:Maidenhair-tree; gbif:eng:Maidenhair-tree; gbif:eng:common ginkgo; gbif:eng:gingko; gbif:eng:ginkgo; gbif:eng:golden fossil tree; gbif:eng:maidenhair tree; gbif:eng:maidenhair-tree; gbif:eng:stinkbomb tree; gbif:eng:Maidenhair-tree; gbif:eng:Ginkgo; gbif:eng:Maidenhair Tree; ncbi:-:ginkgo; ncbi:-:maidenhair tree
Organism_9134	Citrus medica	gbif	Citron	Citrus medica L.	3190157	SPECIES	EXACT	171251	gbif:eng:Citron; gbif:eng:Citron; gbif:eng:citron; gbif:eng:citron; gbif:eng:citron; gbif:eng:Citron; ncbi:-:citron; ncbi:-:etrog
Organism_1178	Curcuma longa	gbif	Turmeric	Curcuma longa L.	2757624	SPECIES	EXACT	136217	gbif:eng:Common Turmeric; gbif:eng:Indian-saffron; gbif:eng:Indian-saffron; gbif:eng:Turmeric; gbif:eng:Turmeric; gbif:eng:common turmeric; gbif:eng:common turmeric; gbif:eng:turmeric; gbif:eng:turmeric; gbif:eng:Turmeric; ncbi:-:turmeric
Organism_105	Cannabis sativa	gbif	Hemp	Cannabis sativa L.	5361880	SPECIES	EXACT	3483	gbif:eng:Grass; gbif:eng:Hashish; gbif:eng:Hashish; gbif:eng:Hemp; gbif:eng:Hemp; gbif:eng:Hemp; gbif:eng:Hemp, Marijuana, Hashish, Hash; gbif:eng:Hemp, Marijuana, Hashish, Hash; gbif:eng:Marijuana; gbif:eng:Marijuana; gbif:eng:Mary Jane; gbif:eng:Mary Jane; gbif:eng:Pot; gbif:eng:devil's lettuce; gbif:eng:grass; gbif:eng:grass; gbif:eng:hashish; gbif:eng:hemp; gbif:eng:hemp; gbif:eng:hemp; gbif:eng:kush; gbif:eng:marijuana; gbif:eng:marijuana; gbif:eng:maryjane; gbif:eng:pot; gbif:eng:pot; gbif:eng:reefer; gbif:eng:Hemp; gbif:eng:hemp; gbif:eng:Maryjane; gbif:eng:grass; gbif:eng:marijuana; gbif:eng:maryjane; gbif:eng:pot
Organism_3190	Artemisia capillaris	gbif	Capillary wormwood	Artemisia capillaris Thunb.	3120722	SPECIES	EXACT	265783	gbif:eng:Capillary wormwood; gbif:eng:capillary artemisia; gbif:eng:capillary artemisia; gbif:eng:yin-chen wormwood; gbif:eng:yin-chen wormwood
